stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0.81,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,1.72,0,0,0
 60-70,0.98,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0.98,0,1.96,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,2.94,0,0
 84-94,3.19,0,0,0,1.06,0,1.06,0,0,1.06,0,2.12,0,2.12,0,0,0,8.5,0,0
 96-106,5.46,0,4.37,1.09,0,0,0,0,2.19,0,0,2.19,1.09,0,1.09,0,0,5.46,0,1.09
108-118,9.19,0,3.06,0,0,6.13,0.77,0,0,0.77,0,0.77,0,0,0,0,0,3.83,0,0
120,3.92,0,1.96,0,1.96,3.92,0,0,0,0,0,0,0,1.96,0,0,0,1.96,1.96,0
