stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,4,0,0,9,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,42,0,0,0,0,0,0,1,6,0,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,36.94,0,0,0,1.64,0,0,0,0,0,0,0,2.46,0,0,4.93,73.06,4.1,0,0,0,0.82,2.46,0,11.49,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,21.75,0,2.42,0,3.22,0,0.81,0,0,0,0,0,4.83,0,0,2.42,73.32,6.45,0.81,1.61,0,0,0.81,0,13.7,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,47.05,0.57,0,0,5.16,0,0,0,0,1.15,0,1.15,4.02,0,0,1.15,42.46,2.3,0,0,0,0,0.57,0,5.74,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,279.73,0,0,0.98,5.89,0,0,0,0,0,0,0,6.87,0,0,0.98,81.47,0.98,0,0,0,0.98,0,0,9.82,0,0,0.98,0,0
 72-82,0,0,0,0,5.89,0,0,558.57,0,1.96,0.98,33.38,0,0.98,0,0,0.98,1.96,0,23.56,0,0,0.98,111.91,0,0.98,2.94,0,1.96,0.98,0,5.89,0,0.98,0.98,0,0
 84-94,0,0,0,0,6.37,1.06,0,357.91,2.12,1.06,2.12,23.36,1.06,0,0,1.06,2.12,1.06,2.12,16.99,1.06,1.06,1.06,73.28,2.12,0,2.12,0,2.12,5.31,0,4.25,0,0,1.06,1.06,0
 96-106,0,0,0,0,5.46,1.09,1.09,359.55,2.19,2.19,0,22.95,0,0,3.28,0,8.74,3.28,1.09,19.67,0,1.09,1.09,59.01,0,0,5.46,0,1.09,1.09,0,7.65,1.09,0,0,1.09,0
108-118,0,0,0,0,6.89,0,0,239.75,0.77,3.83,0,18.38,0,0,0.77,0,7.66,1.53,1.53,9.19,0,0.77,4.6,80.43,4.6,0.77,6.89,0,0.77,1.53,0,1.53,0,0,0.77,0,0
120,0,0,0,0,3.92,0,0,158.74,3.92,1.96,0,15.68,0,0,1.96,0,5.88,1.96,0,5.88,0,0,1.96,47.03,3.92,0,5.88,0,0,0,0,0,0,0,0,0,1.96
