stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,39.53,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,67.43,680.39,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,12.26,0,0,0,0,0
  7-9,5.26,26.29,18.4,0,0,0,49.95,0,0,34.17,0,0,0,554.66,7.89,244.47,2.63,0,0,0,0,0
 10-12,0,18.88,12.59,0,3.15,0,56.65,0,0,22.03,0,0,0,516.1,9.44,242.32,0,3.15,28.32,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0.82,0.82,9.03,0,0,0.82,0,0,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0.81,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,0,1.15,0.57,0.57,0.57,0,1.72,0,6.31,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,1.96,0,0,0,0,0.98,1.96,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,2.19,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
