stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,1001.52,19094.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869.74,0,0,0,0,0,0
  5-6,888.8,13135.81,6.13,0,0,0,0,0,0,24.52,0,0,177.76,18.39,0,67.43,367.78,0,0,0,0,0,0
  7-9,49.95,76.23,55.2,0,0,118.29,0,0,0,44.69,0,0,2079.31,39.43,0,573.06,0,10.51,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,22.03,0,0,0,3.15,0,0,129.03,0,0,72.38,0,0,0,6.29,0,0,0
 14-21,0,0,2,7,1,3,0,3,1,0,5,5,38,2,1,1,2,1,10,2,6,32,22
 24-34,0,0,0,1.64,0,0,0,0,0,0,1.64,0,21.34,0,0,0,1.64,0,0,0,1.64,0,3.28
 36-46,0,0,0,0.81,0,0,0,0,0,0,1.61,0,13.7,0,0,0,0,0,0,0,0.81,0,4.03
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,2.87,0,0,0,0,0,0,0,0.57,0,2.87
 60-70,0,0,0,0,0,2.94,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0.98,0,1.96,0,0,0.98,0,4.91,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.53,0,2.3,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
