stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,0,2,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,95,0,0,0,1,1,0,1,40,0,0,0,0
 24-34,0,0.82,0.82,0,27.91,0,0,0.82,4.93,0,0,0,0,0,0,0.82,0.82,0,0,1.64,259.39,0,0,0.82,0.82,0,0,0.82,89.47,0,10.67,0,0
 36-46,0.81,0.81,0,0,44.31,0,0,0,8.06,0,0,0,0.81,0,0,0,2.42,0.81,0,0.81,331.94,0.81,0.81,0,0.81,0,0,0,118.43,0,4.83,0,0
 48-58,0,0.57,0,0,43.04,0.57,0,0,18.36,0.57,0,0.57,0,0,0,0,3.44,0,0,1.72,311,0.57,0,0.57,1.72,0,0,0,121.65,0,1.15,0,0.57
 60-70,0,0,0,0,60.85,0,0,0.98,20.61,0,0.98,0,0,0.98,0,0,5.89,0,0,0.98,318.01,0,0,0,1.96,0,0,0,97.17,0,1.96,0,0
 72-82,0,2.94,0,0,65.77,0,0,0,29.45,0.98,0,0,0.98,0.98,0,0,9.82,0.98,1.96,0.98,163.94,0,0,0,0.98,0,0,0,46.14,0,4.91,0.98,0
 84-94,0,1.06,1.06,0,44.61,0,0,0,37.17,0,0,0,0,0,0,0,4.25,0,0,0,94.52,0,0,0,1.06,0,1.06,0,30.8,1.06,4.25,0,1.06
 96-106,0,1.09,1.09,0,39.34,1.09,0,0,42.62,1.09,0,2.19,4.37,0,0,0,4.37,1.09,0,1.09,66.66,0,1.09,2.19,3.28,0,0,0,27.32,0,1.09,0,0
108-118,0,0,0,0.77,45.19,0,0.77,0,35.23,0.77,0,0.77,0,0.77,0.77,0,4.6,0,0.77,1.53,78.13,0,0.77,2.3,0.77,0,0,0,12.26,0,0.77,0,0.77
120,0,1.96,0,0,39.2,0,0,0,31.36,0,0,1.96,0,0,0,0,0,0,0,0,50.95,0,0,0,0,0,0,0,9.8,0,7.84,0,0
