stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,147.91,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,1044.79,9.44,0,0,81.82,0,3.15,0,56.65,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,308,126,5,0,4,0,0,0,3,0,0,0,1,0,0,29,1,0,6,232,2,0,77,0,0,2,1,14,5,48,0,0,11,0,0
 24-34,0,0,0,0,101.79,8.21,3.28,0,36.12,0,1.64,0,3.28,0,0,0,0,0,0,38.58,1.64,0,1.64,215.89,0,0,17.24,0,0,0.82,0,0.82,0,18.88,0,0,15.6,0,0
 36-46,0,0,0,0.81,13.7,4.83,14.5,0,29,0,1.61,0,5.64,0,0,8.06,0,0,0,33.03,0.81,0,3.22,221.56,0,0,8.06,0,0,0.81,0,0,0,34.64,0,0,1.61,0,0.81
 48-58,0,0.57,0,0,5.74,0.57,110.17,0,26.4,1.15,4.59,0,4.02,0,0,26.97,0.57,0,0,43.61,0,0.57,0.57,274.28,0,0.57,7.46,0,0.57,1.15,0,0,0,60.25,0,0,0.57,0,2.3
 60-70,0,0,0,0,3.93,0.98,210.05,0.98,22.58,0,2.94,0.98,0.98,0,0,29.45,0,0,0.98,23.56,0,0,0,241.45,0,0.98,1.96,0,0,0.98,0,0,0,87.36,0,0,0.98,0,0
 72-82,0,0,0,0,5.89,0.98,187.5,0,10.8,1.96,11.78,0,0.98,0,0.98,24.54,0.98,0.98,0.98,20.61,0,0,0.98,222.84,0,0.98,8.83,0,0,0.98,0,0,0,66.75,0.98,0,0,0,0
 84-94,0,0,1.06,0,2.12,0,109.39,0,18.05,0,11.68,1.06,2.12,0,0,28.68,0,0,1.06,16.99,0,1.06,1.06,129.57,0,0,3.19,0,0,4.25,0,0,0,35.05,1.06,1.06,1.06,1.06,1.06
 96-106,0,0,0,0,6.56,0,108.19,0,16.39,1.09,18.58,0,3.28,1.09,0,45.9,1.09,0,0,8.74,0,1.09,0,75.41,0,0,6.56,0,0,3.28,0,0,0,8.74,0,0,1.09,0,0
108-118,0,0,0,0,2.3,0.77,66.64,0,16.85,0.77,11.49,1.53,2.3,0.77,0,59.75,0,0.77,0,8.43,0,0.77,0.77,97.28,0,0,5.36,0,0,0.77,0,0,0,6.13,0,0,0,0,0
120,0,0,0,0,3.92,0,56.83,0,19.6,0,11.76,0,0,1.96,1.96,31.36,0,0,0,3.92,0,0,0,92.11,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0
