stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,pericytes,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0
 24-34,0,0,0.82,1.64,0,0,0,0,0,0,0,18.06,0,0,0,0,0,6.57,0,9.03,0.82,0,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,1.61,4.83,0,0,0,0,0,18.53,0,5.64,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0.57,0.57,9.75,0,1.15,0,0,0.57,18.94,0,10.33,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0.98,0,0,0,0,2.94,0,2.94,0,0,3.93,21.59,0,3.93,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0.98,0.98,0,2.94,3.93,2.94,0.98,0,0,46.14,43.19,0,6.87,0,0,0,0,0,0,0
 84-94,0,0,3.19,2.12,0,0,1.06,1.06,0,0,5.31,12.74,0,1.06,0,0,44.61,42.48,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,4.37,1.09,0,0,2.19,1.09,0,0,9.84,1.09,15.3,1.09,1.09,1.09,31.69,38.25,0,4.37,0,0,1.09,0,0,1.09,1.09
108-118,0,0,2.3,0.77,0,0,0.77,0.77,0,0,13.79,0,14.55,2.3,0,0,16.09,19.15,0,3.83,0,0,0,0,0,0,0
120,0,0,0,7.84,0,0,0,0,0,1.96,3.92,0,27.44,0,0,3.92,13.72,11.76,1.96,5.88,0,0,1.96,0,0,1.96,0
