stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,heart,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,3,1,5,0,0,0,1,0,0,0,34,0,0,0
 24-34,0,0,0.82,2.46,2.46,0,0,0,0,0.82,0,0,0.82,16.42,0,0,0,0,0,0.82,0,63.21,0,0,0
 36-46,0,0,0,1.61,0,0,0.81,0,0,5.64,0,1.61,0,20.14,0.81,0,0,0,0,0.81,0,52.37,0,0,0
 48-58,0,0,1.15,4.02,0,2.3,0,0,0,8.03,0,4.02,0,29.84,0.57,0,0,0,0,0,1.15,35,0,0,0
 60-70,0,0,0,15.7,0,0,0,0,0,2.94,0,3.93,0,24.54,0,0.98,0,0,0,0,0,22.58,0,0,0
 72-82,0,1.96,0.98,12.76,0,3.93,0,0,0,0.98,0,16.69,0,37.3,0,0,2.94,0,0,0,0,13.74,0,0.98,0.98
 84-94,0,2.12,0,15.93,0,3.19,0,1.06,0,1.06,1.06,9.56,0,9.56,0,0,1.06,0,0,0,0,8.5,0,0,1.06
 96-106,0,6.56,0,9.84,0,5.46,0,0,1.09,1.09,1.09,14.21,0,18.58,0,0,1.09,0,0,0,0,2.19,1.09,0,0
108-118,0,10.72,0.77,16.09,0.77,3.83,0,0,0,0,0,12.26,0,11.49,0,0,0.77,0,0.77,0,1.53,3.06,1.53,0.77,0
120,0,5.88,1.96,11.76,0,5.88,0,0,0,0,1.96,11.76,0,7.84,0,0,0,0,0,1.96,0,3.92,0,0,0
