stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,53.5,0,0,34.62,0,3.15,0,0,3.15,0,15.73,0,0,0,0,0,0
 14-21,0,1,4,6,11,0,0,0,0,12,0,10,0,3,0,0,0,0,24,0,0,7,164,4,0,0,0,18,0,20,0,193,438,64,0,0,0,0,0
 24-34,0,0,0,1.64,0,4.93,34.48,0,0,8.21,0,4.93,0,0.82,0,0,0,0,5.75,0,0,13.95,476.92,13.13,0,0,0,20.52,0,0,0,39.4,252,100.97,0,0,0,0,1.64
 36-46,0,0,0,0,3.22,16.11,39.48,0,0,8.06,0.81,1.61,0,0,0,0.81,0,0,4.03,0,0.81,12.89,853.2,12.09,0,0,0,9.67,0.81,0.81,0,22.56,8.86,163.55,0,0.81,1.61,0,0
 48-58,0,0,0,2.87,16.64,87.22,14.92,0,0,26.4,0,1.15,0.57,0,0.57,0,0,1.15,7.46,0,1.72,17.79,916.94,2.87,1.15,0,0,5.74,0,0,0,12.62,0,140.01,0,0,0.57,0,1.72
 60-70,0,0,0,0.98,33.37,262.07,29.45,0,0,27.48,0,0.98,0,0,0,0,0,0.98,12.76,0,0.98,24.54,1322.11,7.85,0,0,0,6.87,0,0,0.98,11.78,0,142.32,0.98,2.94,0.98,3.93,2.94
 72-82,0,0.98,0,9.82,49.08,238.54,22.58,0,0.98,35.34,0,0,0.98,0.98,0,0,0.98,0.98,21.6,0,0.98,26.5,873.68,9.82,0.98,0,0,11.78,0,0,0,3.93,0,90.31,2.94,2.94,0.98,10.8,1.96
 84-94,0,1.06,0,6.37,49.92,162.49,28.68,0,0,20.18,1.06,1.06,0,0,2.12,0,0,0,9.56,0,1.06,23.36,391.89,4.25,4.25,0,0,31.86,0,0,0,7.43,0,49.92,1.06,6.37,0,18.05,0
 96-106,0,1.09,0,5.46,31.69,138.79,31.69,1.09,0,14.21,0,1.09,1.09,1.09,0,1.09,2.19,0,8.74,0,4.37,29.51,284.14,8.74,1.09,1.09,1.09,31.69,0,0,0,5.46,0,17.49,2.19,7.65,0,29.51,0
108-118,0,0,0,8.43,21.45,107.23,35.23,0.77,0,16.85,0.77,3.06,0,1.53,0,0.77,0.77,0,12.26,0.77,0,32.94,423.58,6.89,0,0,0,29.11,0,0,0,11.49,0,10.72,0.77,1.53,1.53,18.38,0
120,0,0,0,3.92,23.52,84.27,29.4,0,0,17.64,3.92,0,0,0,0,0,0,0,7.84,0,0,23.52,329.24,7.84,1.96,0,0,19.6,0,0,0,3.92,0,1.96,0,5.88,0,15.68,0
