stage,blastomeres,epidermis,eye,glial,heart,iridophores,muscle,neural,notochord,paraxial.mesoderm,spinal.cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,2.63,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0
 14-21,0,0,0,0,0,0,0,0,3,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0.82,0,3.28
 36-46,0,0,0,0,0,0,0,1.61,0,0,2.42
 48-58,0,0,0.57,0,0,0,0,4.02,0,0,1.72
 60-70,0,0.98,0,0,0,0,0.98,7.85,0,0,3.93
 72-82,0,0,0,0,0,0,0,19.63,0,0,5.89
 84-94,0,0,0,0,0,1.06,0,4.25,0,0,1.06
 96-106,0,0,0,2.19,0,1.09,0,13.11,0,0,1.09
108-118,0,0,0.77,0,0,0.77,0,13.79,0,0,0.77
120,0,1.96,0,0,0,0,0,9.8,0,0,5.88
