stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste
 14-21,0,1,2,1,0,0,0,0,0,0,2,3,2,0,2,0,0
 24-34,0,0,0.82,1.64,0,0.82,0,0,0,0,0,3.28,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,2.42,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,1.15,1.15,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0,0.98,0,0,0
 72-82,0.98,0,2.94,2.94,0.98,0.98,1.96,0,0.98,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,2.12,0,1.06,7.43,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,2.19,4.37,0,0,0,0,6.56,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0,0,0,0.77,0,4.6,0,0.77,0,0,0.77
120,0,0,1.96,0,0,0,1.96,0,0,0,0,5.88,0,0,0,0,3.92
