stage,blastomeres,eye,glial,gut,heart,immune,ionocyte,mesenchyme,mural.cell,neural,olfactory,otic,paraxial.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0.82,0,4.1,0,0,0,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,3.22,2.42,0,4.03,0.81,0,0,0,0.81,0,0,0
 48-58,0,1.72,0,0,0.57,0,0,1.72,0,5.74,0,0.57,0,0,1.72,0,1.15,0
 60-70,0,1.96,0,0,0,0,0,5.89,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0.98,0.98,6.87,0,0,0,8.83,0,2.94,0,0,0,0.98,0,0,1.96,0.98
 84-94,0,1.06,0,6.37,0,0,0,2.12,1.06,2.12,0,0,0,0,1.06,0,0,0
 96-106,0,2.19,2.19,6.56,1.09,2.19,0,3.28,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,6.89,0.77,1.53,0,2.3,0.77,4.6,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,3.92,0,1.96,0,11.76,0,0,0,0,0,0,1.96,0
