stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,18.4,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,2,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,1.64,0,0,0,0,2.46,0,8.21,0.82,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0.81,0,0.81,0,0,0,0,0,3.22,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0.57,1.15,1.15,0,0.57,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,0,7.85,0,0.98,0.98,0,0,0,0,0,0.98,3.93,0.98,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0.98,0,11.78,0,1.96,0.98,0,0,0,0.98,0.98,0,6.87,0,0,0.98,0,2.94,0,0,0.98,0.98
 84-94,0,0,0,1.06,0,6.37,0,0,0,0,1.06,0,0,2.12,0,2.12,1.06,0,0,0,3.19,0,0,0,0
 96-106,0,0,0,3.28,1.09,2.19,1.09,0,0,2.19,1.09,1.09,0,3.28,0,2.19,0,0,0,0,9.84,0,0,0,3.28
108-118,0,0,0,0.77,0,1.53,0,0.77,0.77,1.53,0.77,0,0,0.77,0,0,0.77,0,0,0,4.6,0,0,0,0
120,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
