stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,10.51,5.26,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,102.52,5.26,0,26.29,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,18.88,0,3.15,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,0,0,3.28,0.82,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0.81,0,0,3.22,0,0
 48-58,0,0,0,0,0,1.72,0,1.15,0,0,0,0,0,0,0,0,0.57,18.36,0,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,0,1.96,0,2.94,0,0,0,0,0,0,0.98,0,0,67.73,0,0,0,0,0,0,3.93,0,0
 72-82,0,0,0,0.98,0,7.85,0.98,3.93,0,0,0,0,0.98,0,0,0.98,0,68.72,0,0,0,0,0,0,6.87,0,0.98
 84-94,0,0,0,0,0,2.12,0,2.12,0,0,1.06,1.06,0,0,0,0,0,44.61,0,0,0,0,0,0,4.25,0,0
 96-106,0,0,0,1.09,0,3.28,0,2.19,1.09,0,0,0,0,0,0,1.09,0,41.53,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,5.36,0,0.77,0,0,0,0,0,0.77,0,2.3,0,48.26,0,0.77,0,0.77,0,0,0.77,0,0
120,0,0,0,5.88,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,45.08,0,0,0,0,0,0,0,0,0
