stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,31.54,0,2.63,0,0,0,0,0,0
 10-12,0,0,50.35,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,132.17,3.15,0,0,37.76,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,137,1,0,0,0,0,0,0,0,2,0,0,314,10,0,0,13,0,0,5,0,1,3,969,0
 24-34,0,0,0.82,0.82,0.82,2.46,0,0,158.43,0.82,0,0.82,0,0.82,0.82,0,0,11.49,0,0.82,286.48,0,0,0,0,0,0,0,0,0,3.28,821.68,0.82
 36-46,0,0,0,0,0,3.22,0,0,102.32,0,0,0,0,0,0,0,0,6.45,0,1.61,170.8,0,0,1.61,0,0,1.61,0,0.81,0,0,483.4,0
 48-58,0,0,0,0.57,0,5.16,0,0,125.66,0,0,0,0,0,0,0,1.15,1.72,0.57,0,78.61,0,0.57,0,0,0.57,0.57,0,0,0,0,336.82,0.57
 60-70,0,0,0,0,0,1.96,0.98,0.98,129.56,0,0,0.98,0,0,0,0.98,0,0.98,0.98,0,40.24,0,0,0,0,0,0,0,0,0,0,137.41,0
 72-82,0,0,0,0,0,7.85,0,0.98,182.59,0,0,0,0.98,0,0,0,0,2.94,0,0,15.71,0,0.98,0,0,0,0,0,0,0,0,78.53,0
 84-94,0,0,0,0,0,8.5,0,0,115.76,0,0,1.06,0,0,0,1.06,0,0,0,0,11.68,0,1.06,0,0,0,0,0,0,0,0,89.21,0
 96-106,0,0,0,0,0,6.56,0,0,110.38,0,0,0,0,0,0,1.09,1.09,3.28,0,0,9.84,0,0,0,0,0,0,0,0,0,0,65.57,0
108-118,0,0,0,0,0,2.3,0,0,98.81,0,0,0,0,0,0,0,0,1.53,0,0,6.89,0,0,0,0,0,0,0,0,0,0,48.26,0
120,1.96,0,0,3.92,1.96,1.96,1.96,0,60.75,0,0,0,3.92,0,0,0,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0,0,0,45.08,0
