stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,6.29,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,1,47,0,0,0,0,0,0,0,3,0,0,2,24,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,5.75,0,11.49,0.82,1.64,0.82,0,0,0,0,0,0,0,3.28,0,0,1.64,363.64,0.82,1.64,0,0,0,2.46,0,0,1.64,0,0.82,140.37,0,0,1.64,0,0
 36-46,0,0,0.81,0,1.61,0,0,20.95,0.81,4.03,0,6.45,0,0,0,0,0,0,0,0.81,6.45,0.81,0.81,3.22,1003.06,0,1.61,0,0,0,3.22,0,0,0,0.81,0,293.26,0,0,3.22,0,0
 48-58,0,0,0.57,0,6.31,0,0,138.86,0,4.59,1.72,21.8,0,0,0.57,1.15,1.72,0.57,0,2.3,39.59,0.57,1.15,4.59,1654.85,1.15,1.72,0.57,0.57,0,5.74,0,0,0,0.57,0,314.45,0,0,2.87,0,3.44
 60-70,0,0,0,0,4.91,0.98,0,426.96,1.96,7.85,0.98,33.37,0.98,0.98,0.98,0.98,1.96,0,0.98,1.96,39.26,0.98,0.98,2.94,3288.1,0,2.94,0.98,0,0.98,10.8,0,0,0,0.98,0,462.3,0,0,0.98,0.98,6.87
 72-82,0,0,7.85,0,26.5,17.67,0,897.24,0.98,6.87,8.83,103.07,3.93,0,5.89,0.98,7.85,2.94,3.93,1.96,115.84,0,0.98,8.83,3673.38,0,3.93,5.89,0,0.98,9.82,0.98,0,0,1.96,0,369.1,0.98,1.96,8.83,2.94,8.83
 84-94,0,0,3.19,0,52.04,10.62,0,651.03,6.37,9.56,3.19,89.21,3.19,1.06,10.62,2.12,3.19,1.06,2.12,0,58.41,0,2.12,5.31,2209.04,1.06,5.31,2.12,0,0,22.3,0,0,0,0,0,214.53,3.19,4.25,7.43,0,2.12
 96-106,0,0,0,0,43.71,18.58,1.09,603.25,1.09,6.56,5.46,102.73,3.28,3.28,13.11,1.09,2.19,1.09,4.37,1.09,91.8,2.19,4.37,4.37,1860.03,2.19,6.56,2.19,0,3.28,25.14,0,0,1.09,2.19,0,112.56,2.19,2.19,6.56,3.28,3.28
108-118,0,0,0.77,0,31.4,7.66,0.77,458.05,0.77,6.89,3.83,61.28,3.83,1.53,7.66,1.53,1.53,0.77,3.83,0.77,54.38,2.3,0.77,4.6,2444.95,0,4.6,3.83,0,1.53,10.72,0,0,0,0,0,86.55,2.3,0,6.13,1.53,1.53
120,0,0,0,0,41.16,13.72,0,464.47,3.92,13.72,1.96,82.31,3.92,1.96,15.68,0,1.96,0,5.88,0,58.79,3.92,1.96,0,2804.45,1.96,5.88,7.84,0,0,29.4,0,0,1.96,1.96,0,115.63,5.88,1.96,15.68,1.96,1.96
