stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
 24-34,0,2.46,0.82,0,0,0,0,0,0,0,0,0,0,2.46,0,0,2.46,3.28,0,0,0,0,4.93,0,0.82,0,0,2.46,0,0,8.21,0,0
 36-46,0,1.61,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,0,1.61,0,0,0,0,8.86,0,0,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0.57,0,0.57,1.15,0,0.57,1.15,0.57,0,0,6.31,0,0.57,0.57,6.31,0,0,0,0,4.02,0,0,0,0,1.72,0,0,1.72,0,1.72
 60-70,0,1.96,0.98,2.94,0,0,0,0,0.98,0.98,0,0,0.98,26.5,0,0.98,2.94,8.83,0,0,0.98,0,6.87,0,0,0.98,0,0.98,0,0.98,0.98,0,1.96
 72-82,0,4.91,0,1.96,0.98,1.96,0,2.94,0.98,0.98,0.98,0,0,11.78,0,0.98,0.98,1.96,0.98,0,0,0.98,3.93,0,0,0,0,0,0,0,7.85,0,2.94
 84-94,0,1.06,0,3.19,0,1.06,2.12,0,0,1.06,0,0,1.06,6.37,1.06,0,1.06,1.06,0,0,0,1.06,6.37,0,0,0,0,0,1.06,1.06,5.31,0,0
 96-106,0,7.65,0,2.19,1.09,1.09,1.09,0,0,4.37,0,0,0,7.65,0,1.09,1.09,3.28,0,1.09,0,0,7.65,0,0,0,0,1.09,0,1.09,5.46,0,1.09
108-118,0,5.36,0,1.53,0.77,0,3.06,1.53,0.77,3.06,0,0,0,7.66,0,0.77,0,4.6,1.53,0,0,0,6.89,0.77,0,0.77,0,0,0.77,0,6.13,0,0.77
120,0,5.88,0,0,0,0,0,0,1.96,5.88,0,1.96,1.96,3.92,1.96,1.96,0,0,0,1.96,0,1.96,9.8,0,0,0,0,0,1.96,0,3.92,1.96,0
