stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,52.71,922.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,98.07,1446.59,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,171.63,6.13,0,0,42.91,0,0,0,0,0,0,0,0
  7-9,26.29,23.66,36.8,0,0,63.09,0,0,0,0,0,23.66,0,0,0,0,0,0,0,630.89,15.77,0,0,239.21,0,7.89,0,0,0,0,0,0
 10-12,0,15.73,34.62,0,3.15,40.91,0,0,0,0,0,6.29,0,0,0,0,0,0,0,415.4,18.88,0,0,220.29,3.15,0,0,25.18,0,3.15,0,0
 14-21,0,1,0,23,6,5,0,0,0,4,1,0,0,0,0,1,12,0,9,115,9,0,4,4,0,0,33,1,16,56,1,0
 24-34,0,0,0,1.64,0,5.75,0,0.82,0,2.46,0,0,0,0.82,0,0,6.57,0,6.57,81.26,0,3.28,0,0,0.82,0,0,1.64,2.46,18.88,0,0
 36-46,0,0,0,0.81,0,5.64,0,0,0.81,1.61,0,0,0,0,0.81,0,4.03,0,0,64.45,0.81,0,0,0,0.81,0,0,0,0,13.7,0,0
 48-58,0,0,0,1.15,0,11.48,0,0,0.57,1.72,0,0,0,0,0,0,0.57,0.57,1.72,47.63,0.57,0,0,0,0,0,0,0,0,10.9,0,0
 60-70,0,0,0,0,0,13.74,0,1.96,0,1.96,0,0,0,0,0,0,0.98,0,0,45.15,0,0.98,0,0,0,0,0,0,0,6.87,0,0
 72-82,0,0,0,0,0,12.76,0,0,0.98,0.98,0,0,0,0,0,0,13.74,1.96,1.96,41.23,0,0.98,1.96,0,0,0,0,0,0,2.94,0.98,0.98
 84-94,0,0,0,0,0,4.25,0,0,0,1.06,0,0,0,0,0,0,5.31,0,1.06,14.87,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,13.11,0,0,0,0,0,0,0,1.09,0,0,2.19,0
108-118,0,0,0,0.77,0,5.36,0,0,0.77,0,0,0,0,0,0,0,1.53,0,0.77,13.79,0,0,0,0,0.77,0,0,0,0,2.3,0,0
120,0,0,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0,0,0,3.92,0,1.96,23.52,0,0,0,0,0,0,0,0,0,1.96,1.96,0
