stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,7.89,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,30.37,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,175.66,0,0,0,0,0,0.82,0,0,0,2.46,13.95,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,8.06,0,0,0.81,196.58,0,0,0.81,0,0,0,0,0,0,6.45,0,0,0,335.16,0,0,0,0,0,0,0,0.81,0,0,56.4,0,0,0,0,0
 48-58,0,0.57,0,3.44,1.15,0,36.15,0.57,0.57,1.72,420.6,0,0,0,0.57,0.57,0,0.57,1.15,0,9.18,0,0,1.72,343.14,0,0,0,0,0,0.57,0,0.57,0.57,0,158.94,0,0,2.3,0,1.72
 60-70,0,0,0,4.91,0,0,35.33,0,0.98,0.98,697.86,1.96,0,0,1.96,0,0.98,0,0,0.98,11.78,0,0,0,245.38,0,1.96,0.98,0,0,1.96,0,0,0,0,116.8,0,0.98,0.98,0,1.96
 72-82,0,0,0,13.74,0.98,0,107.98,0,0.98,2.94,923.74,0.98,0,0,0.98,0,0.98,1.96,0,0,23.56,0,0,0.98,260.14,0,0.98,2.94,0,0,1.96,0,0,0,0,55.95,0.98,0,2.94,1.96,0.98
 84-94,0,0,0,20.18,3.19,0,116.82,0,1.06,3.19,642.53,0,0,1.06,0,1.06,0,0,1.06,0,23.36,1.06,2.12,1.06,181.61,1.06,0,1.06,0,0,2.12,0,0,0,0,56.29,1.06,1.06,1.06,2.12,0
 96-106,0,0,0,18.58,4.37,0,84.15,1.09,3.28,2.19,617.46,1.09,0,0,1.09,1.09,0,0,1.09,0,14.21,0,2.19,3.28,198.9,0,1.09,0,0,0,3.28,0,0,0,0,34.97,0,0,1.09,0,1.09
108-118,0,0,0,3.06,2.3,0.77,34.47,1.53,0,1.53,543.83,0.77,0,0.77,0,0.77,0,0,0,0,14.55,0,0,0,168.51,0,0.77,0,0,0.77,0.77,0,1.53,0,0,18.38,0,0.77,1.53,0,0
120,0,0,0,7.84,3.92,0,47.03,1.96,0,0,601.65,1.96,0,0,1.96,1.96,0,1.96,3.92,0,5.88,0,0,0,178.34,1.96,0,1.96,0,0,3.92,0,1.96,0,0,21.56,0,0,0,1.96,0
