stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1041.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,1722.43,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,24.52,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,26.29,0,23.66,0,0,0,31.54,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,433.74,36.8,0,0,365.39,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,3.15,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,245.46,15.73,0,0,173.08,0,6.29,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,20,5,0,10,0,0,1,3,0,0,0,0,0,0,6,16,0,0,10,72,3,0,3,11,0,0,39,2,11,34,0,0,3,0,0
 24-34,0,0,0,0,1.64,0,0,9.03,0,0,1.64,0,0,0.82,0,0,0,0,0.82,4.93,0,0,1.64,43.51,3.28,0.82,0,0,0,0,0.82,0,2.46,13.95,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,18.53,0,0,0,0,0,0,0,0,0.81,0,0,4.03,0,0,0.81,12.09,0,0,0,0,0,0.81,0,0,0,9.67,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,168.7,0,0,2.87,0,0,0,0,0,0,0,0,7.46,0,0,1.15,15.49,0,0.57,0,0,0,0,0,0,0,4.02,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,432.85,0.98,0,0.98,0,0,0.98,0,0,0,0,0,2.94,0,0,0,14.72,0,0,0,0,2.94,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0.98,0,1.96,1.96,0,581.14,0,0.98,6.87,0.98,0,0,0.98,0,0,0.98,0.98,6.87,0,0,0,31.41,0,0,0,0,0,0,0,0,0,5.89,0,0,0.98,0,0
 84-94,0,0,0,0,2.12,4.25,0,489.6,0,0,6.37,0,0,0,0,0,0,0,0,5.31,0,1.06,2.12,20.18,0,0,0,0,0,0,0,0,0,4.25,0,0,1.06,0,0
 96-106,0,0,0,0,4.37,13.11,0,375.94,0,0,6.56,0,0,2.19,0,0,0,0,0,9.84,0,0,3.28,21.86,0,1.09,0,0,1.09,0,0,0,0,1.09,0,0,3.28,1.09,0
108-118,0,0,0.77,0,1.53,6.89,0.77,258.9,0,0.77,3.06,0.77,0,0,0,1.53,0,0,0.77,6.13,0.77,0,1.53,26.04,0,0,0,0,2.3,0,0,0,0,0.77,0.77,0,1.53,0.77,0.77
120,0,0,0,0,0,0,0,203.82,0,0,1.96,0,0,0,0,0,0,0,0,7.84,0,0,0,21.56,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0
