stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,4,1,0,0,0,0,0,0,2,0,0,0,0,27,0,0,34,8,0,0,0,0,0,1,1,0,0,26,1,0,0,2,0,0
 24-34,0,0,0,0,27.91,2.46,11.49,0,0.82,3.28,0,0.82,0,9.85,0,0,0,0,320.95,0,2.46,331.63,43.51,50.89,0.82,2.46,0,0,0.82,1.64,0.82,0,68.13,22.98,0,0,0.82,0,0
 36-46,0,0,0,0,19.34,0,11.28,0,0.81,13.7,1.61,2.42,0,14.5,0,0,5.64,0,750.88,0,22.56,369,52.37,91.85,0,3.22,0,0.81,0,2.42,0,0,0.81,20.95,0,0.81,1.61,0,0
 48-58,0.57,0,0,0,11.48,0,25.25,0.57,0.57,14.92,7.46,1.15,0,6.31,0.57,1.15,0.57,0,1136.71,0.57,30.99,311,80.91,126.81,0,11.48,0,5.74,0,0,0,0,0.57,20.08,0,1.72,1.15,0,0.57
 60-70,0.98,0,0,0,8.83,0.98,26.5,0,0.98,5.89,3.93,0.98,0.98,0.98,0.98,0,0.98,0.98,1337.81,0.98,50.06,183.54,54.97,78.52,0,7.85,0,5.89,4.91,0,0,0,0,8.83,0,11.78,0.98,7.85,1.96
 72-82,0,0,0,0,17.67,1.96,65.77,1.96,1.96,4.91,6.87,0.98,0,2.94,1.96,0,0,0,1651.16,0,66.75,199.28,61.84,58.9,2.94,7.85,0,8.83,0.98,0,0,0,0,2.94,0,23.56,3.93,36.32,0
 84-94,0,0,0,0,32.92,1.06,135.94,1.06,4.25,6.37,9.56,2.12,1.06,6.37,0,0,0,0,1295.69,2.12,74.34,157.18,21.24,84.96,2.12,18.05,0,2.12,4.25,0,1.06,1.06,0,5.31,0,30.8,2.12,30.8,1.06
 96-106,0,0,1.09,0,31.69,4.37,67.76,1.09,2.19,6.56,9.84,0,0,13.11,3.28,0,0,0,1117.98,0,43.71,102.73,62.29,41.53,1.09,14.21,0,3.28,1.09,0,0,0,0,1.09,0,18.58,5.46,39.34,0
108-118,0,0,0,0.77,16.09,0,31.4,0,2.3,3.06,3.06,0.77,0,6.13,0,0,0.77,0.77,966.65,0,34.47,81.96,46.72,23.74,0.77,13.02,0,3.83,0.77,0,0.77,0,0,0,0.77,19.92,3.06,18.38,0
120,0,0,0,0,9.8,0,37.24,0,0,1.96,0,1.96,0,11.76,0,0,0,0,797.63,0,33.32,72.51,35.28,11.76,0,5.88,0,17.64,1.96,0,0,0,0,0,0,5.88,1.96,25.48,0
