stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,5,7,0,10,0,0,0,5,0,0,1,0,0,0,0,0,3,11,0,0,15,317,5,4,2,3,0,1,1,14,1,0,29,170,0,0,4,0,0
 24-34,0,0,13.13,1.64,0,64.85,0.82,0.82,1.64,28.73,0,0,3.28,0.82,0,1.64,0,0,1.64,38.58,0,0,18.88,1426.65,4.1,4.93,5.75,0,0.82,4.1,0,0,1.64,1.64,4.1,372.67,0,0,23.8,0,4.1
 36-46,0,0,6.45,0.81,0,242.51,8.06,0,0,75.73,0,0,4.03,0,0,0,0,0,0.81,70.9,0,0,20.95,2680.46,3.22,3.22,4.03,0,0,4.03,0,0,1.61,1.61,0,608.28,0,0,33.84,0,21.75
 48-58,0,0,9.75,2.87,0,716.11,12.05,2.3,5.16,187.63,0,0,3.44,2.87,0,5.16,0.57,2.3,1.72,165.83,0.57,5.16,19.51,3017.07,1.15,3.44,6.89,0,0,3.44,0,0,1.72,1.72,0,593.89,0,0.57,38.44,0,40.17
 60-70,1.96,0,9.82,17.67,0,1465.41,14.72,0.98,7.85,292.49,0,0,3.93,3.93,0,2.94,0.98,0,0.98,244.4,0.98,1.96,12.76,2949.47,4.91,4.91,5.89,0,0,3.93,0,0,0.98,3.93,0,380.83,0,2.94,40.24,0,61.84
 72-82,2.94,0,26.5,53.99,0,1951.54,6.87,0.98,10.8,542.86,1.96,0.98,3.93,1.96,2.94,7.85,0.98,0.98,3.93,472.18,0.98,5.89,24.54,2788.9,1.96,3.93,18.65,0,1.96,1.96,0,0,4.91,2.94,0,217.93,1.96,4.91,107.98,5.89,42.21
 84-94,0,0,23.36,36.11,1.06,1205.41,8.5,4.25,6.37,370.65,1.06,0,5.31,8.5,1.06,14.87,3.19,0,3.19,317.55,0,10.62,19.12,1186.3,2.12,2.12,14.87,0,1.06,8.5,0,0,2.12,5.31,0,117.89,2.12,7.43,89.21,9.56,46.73
 96-106,0,1.09,21.86,51.36,0,857.88,9.84,3.28,5.46,402.17,2.19,0,9.84,10.93,1.09,12.02,2.19,5.46,6.56,248.08,0,5.46,15.3,985.75,1.09,7.65,21.86,0,1.09,8.74,1.09,0,2.19,1.09,0,63.39,2.19,10.93,112.56,4.37,51.36
108-118,0.77,0.77,18.38,36.77,3.83,682.47,9.96,1.53,4.6,305.62,3.06,0,6.89,12.26,2.3,21.45,2.3,3.83,3.06,173.87,0,8.43,13.02,993.45,1.53,4.6,13.02,0,0.77,2.3,0,0,2.3,11.49,0,31.4,1.53,6.89,81.96,3.83,49.02
120,0,1.96,23.52,62.71,0,540.9,5.88,1.96,3.92,307.69,0,0,1.96,9.8,0,17.64,0,13.72,0,113.67,0,7.84,9.8,872.1,1.96,1.96,5.88,0,0,0,0,0,3.92,3.92,0,27.44,1.96,7.84,72.51,5.88,23.52
