stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,24,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,42.68,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,10.67,0.82,0,0,0,0,6.57,0,0,0,0,20.52,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,111.18,0,0.81,0,0,0,0,0.81,0,0,0,0.81,0,6.45,0,0,1.61,15.31,0,0.81,0.81,0,0,3.22,0,0,0,0,4.83,0,0,0.81,0,0
 48-58,0,0,0,7.46,0,0,228.37,0,0,0,0,0,0,0.57,0,0.57,0,0,0,10.9,0,0,1.15,29.26,0.57,0,0.57,0,0,0,0,0,0,0,11.48,0,0,0.57,0,0
 60-70,0,0,0,21.59,0.98,0,674.31,0,2.94,0.98,9.82,0,0,0,0,0.98,0,0,0,29.45,0,0,0,58.89,0,0,0,0,0,13.74,0,0,0,0,3.93,0,0,0.98,0,0
 72-82,0,0,0,41.23,4.91,0,1038.6,0,0.98,0,21.6,0.98,2.94,0.98,0,1.96,0,0.98,0.98,95.22,0,2.94,4.91,117.8,0,0.98,2.94,0,0,60.86,0,0,0.98,0,6.87,0.98,1.96,0.98,2.94,3.93
 84-94,0,0,0,65.85,6.37,0,724.31,1.06,2.12,1.06,23.36,2.12,0,1.06,0,2.12,0,0,0,99.83,2.12,1.06,0,70.09,0,0,3.19,0,0,204.97,0,0,1.06,1.06,7.43,0,1.06,0,0,0
 96-106,0,1.09,0,120.21,15.3,2.19,724.56,5.46,8.74,4.37,56.83,5.46,0,2.19,3.28,5.46,1.09,2.19,0,191.25,1.09,1.09,2.19,162.83,1.09,3.28,4.37,0,1.09,402.17,0,0,0,0,2.19,2.19,1.09,5.46,3.28,2.19
108-118,0,0,0,157.79,4.6,1.53,719.24,0.77,18.38,1.53,51.32,2.3,0.77,3.06,1.53,1.53,0.77,3.83,0.77,212.94,3.83,3.06,3.83,124.09,0.77,0.77,0,0,0.77,589.79,0,0,1.53,0.77,3.83,3.06,1.53,3.06,0,0.77
120,0,0,0,150.9,7.84,3.92,705.52,0,15.68,1.96,43.12,3.92,1.96,1.96,1.96,0,0,7.84,0,186.18,3.92,3.92,5.88,107.79,0,1.96,3.92,0,3.92,407.64,0,0,1.96,0,3.92,0,0,1.96,0,0
