stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,2464.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0
  5-6,79.69,760.07,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0,0,86.75,2.63,0,0,36.8,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,2,0,1,7,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,8.21,0,2.46,0,0,0,0,0,0,0,1.64,0,0,1.64,16.42,0.82,0,0,0,0,0,0,0.82,27.91,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,7.25,0,0.81,0,0,0,0,0,0,0.81,0.81,0,0,0,8.86,0,0,0.81,0,0,0,0.81,0,32.23,0.81,0,0
 48-58,0,0,0,0,0,0,0,17.21,0.57,0.57,0,0,0,0,0,0,0.57,1.15,0.57,0,0,13.77,0,0,0,0,0,0,0,0,13.77,0,0,0
 60-70,0,0,0,0,1.96,0,0,26.5,0,12.76,0,0,0,0.98,0.98,0,0,2.94,0,0,0,14.72,0,0,0,0,0,0,0,0,7.85,0,0,0
 72-82,0,0,0,0,0,0.98,0,52.03,0,0.98,0.98,0,0,0.98,0,0,0,0,0,0.98,0,12.76,0,0,0,0,0.98,0,0,0,3.93,0.98,0.98,0
 84-94,0,0,0,0,1.06,0,0,63.72,0,4.25,2.12,0,0,1.06,0,0,0,3.19,0,1.06,0,14.87,0,0,0,0,0,0,0,0,2.12,2.12,0,1.06
 96-106,0,0,0,0,0,0,1.09,73.22,0,4.37,4.37,0,1.09,3.28,1.09,0,0,9.84,1.09,0,1.09,6.56,0,0,1.09,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0.77,0,0,0,76.6,0.77,0,0,0,0,1.53,0,0.77,0,1.53,0,0,0,5.36,0,0,0,0,0,0,0,0,0.77,1.53,0,0
120,0,0,0,0,0,0,0,74.47,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0
