stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vascular.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,8,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,6,1,1,0,4,1,5,0,0
 24-34,0,0.82,0.82,1.64,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,4.93,0,0.82,0,3.28,0,0.82,0,0
 36-46,0,0,0.81,0,0,3.22,0,0.81,0,0.81,0,0,0,0,1.61,0,0,0.81,0,0,0,4.03,0,0.81,1.61,0.81,0,0,0,0.81
 48-58,0,0,0,0,0,4.02,0,0,0,1.72,0,0,0,0,1.72,0,0.57,1.15,0,0.57,0,10.33,0,0,0,2.87,0,0.57,0,0
 60-70,0,0,0.98,0,0,8.83,0,0,0.98,0.98,0,0,0,0,2.94,0,0,0.98,0,0.98,0,9.82,0,0,0,2.94,0,0.98,0,0
 72-82,0,0,0,0,0,4.91,0,0,0,0.98,0,0,0,0,6.87,0,0,0.98,0,0,0,9.82,0,0.98,0,3.93,0,0.98,0,0
 84-94,0,0,3.19,0,0,4.25,1.06,0,0,0,0,0,1.06,0,15.93,0,0,2.12,0,0,1.06,5.31,0,0,1.06,13.81,0,1.06,1.06,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,2.19,0,0,0,0,7.65,0,0,0,0,0,0,1.09,0,0,0,2.19,0,0,1.09,0
108-118,0,0,0.77,0,0.77,2.3,0,0,0,0,0,0,1.53,0,9.96,0,0,0.77,0.77,0,0.77,0,0,0.77,0,4.6,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,1.96,1.96,1.96,0,1.96,0,0,0,1.96,0,0,0,3.92,0,0,0,0
