stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,42.91,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,0,15.77,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,139.32,15.77,0,0,60.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,9.44,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.32,9.44,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,8,3,3,0,0,1,0,0,1,0,0,0,0,0,4,0,4,36,1,0,0,0,0,2,6,0,7,11,0,1,0,1
 24-34,0,0,0,0.82,0,2.46,0,0,0.82,0,0,0.82,0,0,0,0,0,5.75,0,2.46,32.01,0,0.82,0.82,0,0,4.93,0,0,0,6.57,0,0.82,0,0
 36-46,0,0,0,1.61,0,0.81,0,0.81,1.61,0,0,0,0,0.81,0,0,0,4.03,0,1.61,9.67,0,0,0,0,0,10.47,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,0.57,0,3.44,0,0.57,1.72,0,0,0,0,0,0,0,0,8.61,0.57,2.3,12.62,0,1.15,0.57,0,0,4.59,0,0,0,6.31,0,2.3,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0.98,1.96,0.98,0,0,0,0,10.8,0,0.98,8.83,0.98,0,0,0,0,7.85,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,3.93,0.98,5.89,0,0,9.82,0,0.98,0.98,0,0,0.98,2.94,0,19.63,0,2.94,10.8,0,5.89,0,0,0.98,5.89,0,0,0,1.96,0,7.85,0.98,0
 84-94,0,0,0,1.06,0,4.25,0,1.06,3.19,0,0,0,2.12,0,0,1.06,1.06,10.62,0,2.12,8.5,0,0,1.06,0,0,10.62,0,0,0,2.12,0,2.12,0,0
 96-106,0,0,0,1.09,0,6.56,2.19,2.19,2.19,0,0,1.09,1.09,0,0,1.09,0,21.86,0,2.19,7.65,0,3.28,1.09,0,0,14.21,0,0,0,1.09,0,2.19,2.19,1.09
108-118,0,0,0,3.06,0,3.06,0.77,0,0.77,0,0,1.53,0.77,0,1.53,0.77,0.77,7.66,0,1.53,3.06,0,1.53,0.77,0,0,9.19,0,0,0,0,0,1.53,0,0.77
120,0,0,0,0,0,5.88,1.96,3.92,0,1.96,0,3.92,3.92,0,0,0,0,9.8,0,0,1.96,1.96,0,0,0,0,13.72,0,1.96,0,0,1.96,0,0,0
