stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,1.64,0,0.82,0,0,0.82,0.82,0.82,2.46,0,0.82,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,1.61,0,0,0,8.06,0,0,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,2.87,0.57,0,0.57,0,0,0,0,0,0,3.44,0,0.57,0,6.31,0,0,3.44,0,0,0.57,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,8.83,0,0,0.98,0,0,0,0,0,0,11.78,0,0,0,8.83,0,0.98,17.67,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,0,28.47,0,0,2.94,0,0,0,0,0,0.98,36.32,0,0,1.96,15.71,0,0,22.58,0,0,0,0,0,0.98,2.94,0.98,2.94,0
 84-94,0,0,1.06,1.06,0,28.68,0,0,1.06,0,0,0,0,0,0,28.68,0,0,1.06,8.5,0,0,55.23,0,0,2.12,0,0,2.12,2.12,1.06,4.25,0
 96-106,0,0,12.02,6.56,1.09,25.14,0,1.09,2.19,0,0,0,1.09,0,0,62.29,0,4.37,3.28,15.3,0,0,64.48,0,0,3.28,0,0,0,3.28,0,3.28,2.19
108-118,0,0,1.53,0.77,0,22.98,0,1.53,2.3,0,0.77,0.77,1.53,0.77,0,47.49,1.53,0,0,15.32,0,0.77,71.23,0,0.77,1.53,0,0,0,5.36,0.77,4.6,0
120,0,0,3.92,0,0,9.8,0,3.92,1.96,1.96,1.96,0,0,0,0,56.83,0,1.96,1.96,17.64,1.96,0,64.67,0,0,0,0,0,0,1.96,0,1.96,0
