stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,9,9,91,0,0,0,0,0,2,3,0,0,0
 24-34,0,0,0,0.82,53.36,0.82,4.1,0,0.82,0.82,0,0,4.1,0,0.82,0,0,52.53,0,0.82,14.78,55.82,92.76,0.82,0,0,0,0,0,55.82,0,0,0
 36-46,0,0,0,0,33.03,0,1.61,0.81,0,0.81,0,0,4.03,0,0,0,0,47.53,0.81,4.83,8.06,47.53,75.73,0,0,0,0,2.42,0,54.79,0.81,0.81,0
 48-58,0,0,0,0,12.62,0,2.87,1.15,0,2.87,2.3,0,1.15,0,0,0,0,52.22,0,13.2,12.05,24.1,63.69,0,0,0,0,1.15,0,14.35,2.87,0,0.57
 60-70,0,0,0,0,2.94,0,3.93,0,0,4.91,0,0,0,0.98,0,0.98,0,57.91,0,18.65,8.83,15.7,63.8,0,0,0,0,0.98,0,3.93,2.94,0,0
 72-82,0,0,0,0,3.93,0,3.93,0,0,2.94,0,0,0,0,0.98,0,0,83.44,0,13.74,12.76,19.63,61.84,0,0,1.96,0,0,0,1.96,2.94,0,3.93
 84-94,0,0,0,0,2.12,1.06,4.25,0,0,5.31,5.31,0,0,0,1.06,0,1.06,69.03,1.06,9.56,5.31,21.24,80.71,0,0,1.06,1.06,0,0,0,6.37,0,1.06
 96-106,0,0,0,0,1.09,0,10.93,0,0,2.19,3.28,0,0,0,1.09,1.09,0,55.74,0,12.02,6.56,9.84,65.57,1.09,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,1.53,0,1.53,0,3.83,0,0,0.77,0.77,0,0,0.77,1.53,0,0,54.38,0,5.36,3.06,15.32,71.23,0,0,1.53,0,0.77,0,1.53,0,0,0.77
120,1.96,0,1.96,0,1.96,3.92,1.96,0,0,1.96,0,0,1.96,0,1.96,0,0,43.12,0,1.96,1.96,11.76,97.99,0,0,3.92,0,0,0,0,1.96,0,0
