stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,melanocytes,mesenchyme,mural.cell,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,1,0
 24-34,0,0,1.64,0,0,0,0,0,4.93,0.82,0,9.85,0,0.82,0,0,4.93,0
 36-46,0,0,18.53,0.81,0,0,1.61,0,3.22,0.81,0,20.95,0.81,0.81,0,0,4.83,0
 48-58,0,0,30.41,1.15,0,0,2.87,0,0,0.57,0,24.67,0,0,0,0,3.44,0
 60-70,0,0,54.97,0,0,0,10.8,0,0.98,0.98,0,51.04,0,0,0,0.98,5.89,0
 72-82,0,0,52.03,0.98,0,0,42.21,0,0,2.94,0,67.73,0,0.98,0,0,8.83,0
 84-94,0,0,32.92,1.06,0,0,36.11,0,0,3.19,1.06,40.36,1.06,0,0,0,3.19,0
 96-106,0,0,39.34,0,1.09,0,31.69,0,0,3.28,0,41.53,0,0,0,0,1.09,0
108-118,0,0.77,29.11,0,0,0.77,36,0.77,0,3.83,0,37.53,0,0,0,0,0.77,0.77
120,0,0,25.48,0,0,0,21.56,0,0,1.96,0,43.12,0,0,0,0,0,0
