stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,13.14,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,113.29,59.79,0,0,276.93,0,0,0,25.18,0,3.15,0,0,0,0,0,0
 14-21,0,1,15,1,0,0,0,0,11,0,0,0,0,0,0,0,0,1,10,0,0,15,57,70,0,0,5,0,0,34,3,29,36,105,0,0,0,0,0
 24-34,0,0.82,4.93,0,0.82,0,0,0,8.21,0,0,0,0,0,0,0.82,0,0,11.49,0,0,8.21,213.42,4.1,0,0,0,0,1.64,0,0.82,3.28,4.93,123.95,0,0,6.57,0,0.82
 36-46,0,0,1.61,0,1.61,0,2.42,0,6.45,0.81,0,0,0,0,0,4.03,0.81,0,24.17,0,0,8.86,339.99,0.81,0,0,0,0,1.61,0,0.81,1.61,0,172.41,0,0,2.42,0,1.61
 48-58,0,0,6.89,0,18.94,1.72,2.3,1.15,20.08,0,0,0.57,0,0,0,0.57,0,0,37.3,0,0.57,7.46,438.96,1.15,0,0.57,0,0,2.87,0,0,0.57,0,149.76,0,0.57,0.57,0,0
 60-70,0,0,5.89,0,5.89,0,1.96,0,10.8,0.98,0,0,0,0,0,0,0,0,49.08,0,2.94,6.87,313.11,0.98,0.98,0,0,0,1.96,0,0.98,0,0,81.47,0,3.93,0.98,0.98,0
 72-82,0,0,5.89,0.98,15.71,0,0.98,2.94,21.6,0,0,0,0,0,0,1.96,0,0,66.75,0,2.94,13.74,246.4,2.94,0,0.98,0,0,1.96,0,0.98,0,0,44.17,0,6.87,0.98,0.98,0.98
 84-94,0,0,13.81,0,11.68,0,4.25,1.06,15.93,0,0,0,0,4.25,0,1.06,0,0,50.98,0,3.19,8.5,128.51,2.12,0,1.06,0,0,7.43,0,0,0,0,31.86,2.12,8.5,2.12,4.25,0
 96-106,0,0,17.49,0,6.56,0,3.28,0,14.21,2.19,0,0,0,0,1.09,1.09,0,0,54.64,1.09,1.09,7.65,84.15,1.09,0,0,0,1.09,6.56,0,2.19,0,0,15.3,1.09,6.56,1.09,4.37,0
108-118,0,0,10.72,0.77,5.36,0,6.13,1.53,6.89,0.77,0,0,0,0.77,1.53,1.53,0.77,0,40.6,0,3.83,3.83,91.92,0.77,0,0,0,0,3.83,0,0,0,0,13.79,0,3.06,1.53,1.53,0
120,0,0,7.84,0,5.88,0,3.92,0,7.84,3.92,0,0,1.96,1.96,0,0,0,0,37.24,0,5.88,7.84,76.43,3.92,0,0,0,0,1.96,0,0,0,0,19.6,0,0,0,1.96,0
