stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,45,1,5,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,1.64,0,0,0,0,0,0,0.82,0,0,0,2.46,0,1.64,28.73,0,0,0,0,2.46,0,94.4,0.82,6.57,0,0,1.64,0,0.82
 36-46,0,0,0,0.81,0,4.03,11.28,0,0,1.61,0,0,0,0,0,0,1.61,0,1.61,33.03,0.81,1.61,0,0,0.81,0,136.96,0,11.28,0,0,0,0,0.81
 48-58,0,0,0,0,0,9.18,16.07,0.57,0,3.44,0,0,0,0.57,0.57,0,1.15,0,2.87,29.26,0,0,1.15,0,0,0.57,89.51,0,10.33,0,0,2.87,0,0
 60-70,0,0,0,0.98,0,15.7,24.54,0,0.98,0.98,0,0,0,0,0,0,3.93,0,0.98,33.37,0,0,0,0.98,0.98,0,51.04,0,8.83,0,0,0.98,0,0
 72-82,0,0,0,4.91,0,22.58,14.72,0,1.96,1.96,0,0,0,0,0,0,8.83,0,0.98,37.3,0,0,0.98,0,0.98,0,7.85,0,1.96,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,8.5,45.67,1.06,1.06,0,0,2.12,0,1.06,1.06,0,2.12,0,3.19,14.87,0,1.06,0,0,2.12,0,11.68,0,1.06,0,1.06,0,1.06,1.06
 96-106,0,1.09,0,4.37,0,9.84,127.86,1.09,0,4.37,0,2.19,0,0,0,1.09,6.56,0,10.93,19.67,1.09,0,0,1.09,3.28,0,18.58,0,2.19,1.09,0,2.19,0,1.09
108-118,0,0,0,1.53,0,9.96,114.89,0,0,1.53,0.77,0.77,0,0,0,1.53,2.3,0.77,9.96,15.32,0,0.77,0,0,0.77,0,11.49,0,0,0,0,0,0.77,0
120,0,0,0,0,0,3.92,103.87,0,0,1.96,0,0,0,0,0,0,3.92,0,5.88,27.44,0,0,0,0,1.96,0,9.8,0,0,0,0,0,1.96,0
