stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,4.1,0,1.64,2.46,0,0,0.82,0,0,0,0,0,1.64,0,0.82,0,0
 36-46,0,0,0,0.81,1.61,0,0,1.61,0,0,0,0,0,6.45,0.81,1.61,4.83,0,0,0,0,0,0,0.81,0,2.42,0,0.81,0,0
 48-58,0,0,0,0.57,1.72,0,0,0,2.87,0,0,0.57,0.57,9.75,0,1.72,5.74,0.57,0,0,0,0,1.15,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0.98,0.98,0,0,1.96,0.98,0,0,0,3.93,0,0,6.87,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,1.96,1.96,0,0,0,24.54,0.98,1.96,4.91,0,1.96,0.98,0,0,0.98,0,0,2.94,0.98,2.94,0.98,0.98
 84-94,0,0,0,2.12,2.12,0,0,0,1.06,5.31,1.06,0,0,8.5,2.12,2.12,2.12,0,0,0,0,0,7.43,0,0,0,1.06,1.06,0,1.06
 96-106,0,0,0,1.09,1.09,0,0,0,2.19,5.46,4.37,0,0,8.74,0,1.09,7.65,0,0,0,0,1.09,8.74,0,0,0,1.09,1.09,0,0
108-118,0,0,0,1.53,3.06,0,0.77,0,1.53,4.6,0,0,0,7.66,0,1.53,4.6,0,0,0,0,0.77,8.43,0,0,0.77,0,3.83,0,0.77
120,0,0,0,0,0,0,3.92,0,0,9.8,1.96,0,0,7.84,0,1.96,9.8,0,0,0,0,1.96,9.8,0,0,0,0,1.96,1.96,0
