stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,3.28,0,0,0,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0.82,0,0
 36-46,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0.81,12.89,2.42,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0,0,11.48,0,0,0.57,0,0,0,9.75,0.57,0,0,0.57,0,0,0.57,0,0,0,0
 60-70,0,0,1.96,0,0,3.93,0,0,0,4.91,0,0,0,0,0,17.67,0,0,1.96,0.98,0,0,16.69,2.94,0,0,0.98,0,0,1.96,0.98,0,0,0
 72-82,0,0,3.93,0.98,0,17.67,0,0.98,1.96,7.85,0,0,0.98,0,0,41.23,0,0,8.83,1.96,0,0.98,45.16,0.98,0,0,11.78,0,0,2.94,0,2.94,0,0
 84-94,0,0,6.37,1.06,1.06,10.62,0,0,0,5.31,2.12,0,1.06,1.06,0,65.85,0,0,9.56,0,1.06,2.12,22.3,2.12,0,0,20.18,0,0,0,0,0,0,1.06
 96-106,0,0,14.21,6.56,1.09,22.95,0,2.19,1.09,10.93,4.37,1.09,3.28,2.19,1.09,122.4,0,0,12.02,1.09,0,2.19,48.09,3.28,0,0,25.14,0,0,1.09,2.19,0,0,2.19
108-118,0,1.53,9.96,2.3,0.77,13.02,0,1.53,0,0.77,0,0.77,0.77,2.3,0.77,87.32,0.77,0.77,10.72,0.77,0,3.83,35.23,3.06,0,0.77,21.45,0,1.53,0,0,0,0.77,0
120,0,0,9.8,1.96,0,5.88,1.96,5.88,0,5.88,1.96,0,0,0,0,45.08,5.88,0,5.88,0,0,0,29.4,1.96,0,0,7.84,1.96,0,0,0,0,0,0
