stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,8,0,2,0,0,0,2,0,0,0,0,0,0,0,0,77,0,63,136,0,0,0,0,0,0,0,1,0,0,68,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,3.28,0,0.82,0,2.46,0,0.82,0,0,0,0.82,0,0,140.37,0,33.66,453.11,0,3.28,0.82,0,0,0.82,0,0,0,0.82,102.61,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,4.03,0,0.81,0,1.61,0,1.61,0,0,0,1.61,0,0.81,161.13,0,11.28,508.38,0,2.42,1.61,0,0,0,0.81,0,0,0,60.43,0,0,0,0,4.03
 48-58,0.57,0,0,0,0.57,0,0,23.53,0,0,0,6.31,0,0.57,0,0,0.57,7.46,0.57,0,170.99,0,7.46,398.79,0,0,6.31,0,0,0.57,0,0,0,0,68.28,0,0,0.57,0,6.31
 60-70,0,0,0,0,2.94,0,0,61.84,0,0,0,3.93,0,0.98,0,0,0.98,31.41,0,0,178.64,0,7.85,406.35,0,0,8.83,0,0,0,0,0,0.98,0,75.58,0,0,1.96,0,4.91
 72-82,0,0,0.98,0,1.96,0.98,0,98.17,0,0,0,14.72,0,0,0,0,1.96,47.12,0.98,0,227.75,1.96,7.85,444.69,0,0,17.67,0,0.98,1.96,0,0,0,0,78.53,1.96,1.96,0.98,0,2.94
 84-94,0,0,0,0,8.5,1.06,0,74.34,1.06,1.06,1.06,16.99,0,0,2.12,1.06,5.31,66.91,0,1.06,143.38,0,9.56,234.71,0,0,23.36,0,1.06,5.31,0,0,0,0,45.67,0,1.06,2.12,1.06,1.06
 96-106,0,0,1.09,0,15.3,0,0,50.27,0,2.19,0,25.14,3.28,0,2.19,1.09,1.09,107.1,0,0,201.08,0,3.28,233.87,1.09,1.09,36.06,0,2.19,2.19,0,0,1.09,0,16.39,0,0,5.46,0,3.28
108-118,0,0,0.77,0,6.89,0,0,58.21,0,0,0,19.15,3.06,0,1.53,0.77,2.3,81.19,0,0,163.92,0,3.06,261.19,0.77,0.77,30.64,0,0,2.3,0,0,0,0,12.26,0.77,0.77,1.53,0,0.77
120,0,0,0,0,7.84,0,1.96,76.43,0,0,0,11.76,9.8,1.96,0,0,1.96,33.32,1.96,0,113.67,1.96,0,290.05,0,0,25.48,0,0,3.92,0,0,0,0,11.76,1.96,0,1.96,1.96,1.96
