stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,7.89,0,0,0,26.29,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,212.93,7.89,0,0,76.23,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,3.15,0,59.79,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,242.32,9.44,0,0,56.65,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,104,3,0,4,0,0,0,0,0,1,0,13,0,0,0,0,3,1,2,15,0,1,0,1,0,309,4,0,0,5,9,0,0,0,0
 24-34,0,0,0.82,1.64,295.51,2.46,0,10.67,21.34,0,1.64,1.64,0.82,0,0.82,20.52,0,2.46,0,0,6.57,11.49,4.93,85.37,0.82,9.03,3.28,0,0,641.91,0,0,0,0.82,15.6,0,0,2.46,0
 36-46,0,0,0,0.81,131.32,0,0,0.81,28.2,1.61,0.81,0,0,0,0.81,8.06,0,6.45,0,0.81,4.83,4.83,2.42,58.81,1.61,5.64,1.61,0,0,208.67,0,0,0.81,0,6.45,0,0,0.81,0
 48-58,0,0,0,0,81.48,0,0,6.89,29.26,0,1.15,1.15,1.15,0,0,7.46,0,9.75,0,0,4.59,5.16,1.72,33.85,0,2.87,0,0,0,47.63,0,0,0,0,2.3,0,0,2.87,0
 60-70,0,0,0.98,0,81.47,0,0,5.89,32.39,0,0.98,0.98,0.98,0,0,5.89,0,4.91,0,0,21.59,8.83,0.98,19.63,0,2.94,0.98,0,0,56.93,0,0,0,0,0.98,2.94,0,0,0
 72-82,0,0,2.94,0,67.73,0.98,0,4.91,9.82,0.98,8.83,4.91,0,0,1.96,8.83,0.98,8.83,0.98,0,39.27,13.74,1.96,25.52,0,3.93,2.94,0,0,51.05,0,0,0,0,0.98,9.82,0,0,1.96
 84-94,0,0,1.06,0,108.33,1.06,0,8.5,24.43,0,6.37,8.5,2.12,0,0,22.3,0,15.93,1.06,0,40.36,7.43,3.19,12.74,0,6.37,3.19,0,0,149.75,0,0,0,0,0,20.18,1.06,2.12,1.06
 96-106,0,0,0,0,154.09,2.19,1.09,6.56,16.39,0,6.56,38.25,0,0,1.09,26.23,0,14.21,2.19,0,38.25,15.3,1.09,18.58,0,10.93,8.74,0,1.09,130.05,0,0,0,0,0,34.97,0,2.19,0
108-118,0,0,0,0,148.6,0.77,0,3.06,16.09,0,3.83,32.17,0,0,2.3,20.68,0,13.79,0,0.77,42.13,6.89,3.83,20.68,0,6.89,9.19,0,0,88.85,0,0,0,0,2.3,38.3,1.53,0.77,0.77
120,0,0,0,0,176.38,1.96,0,1.96,7.84,0,3.92,17.64,0,0,0,15.68,0,7.84,1.96,0,45.08,5.88,0,25.48,0,9.8,7.84,0,0,119.55,0,0,0,0,0,13.72,0,0,1.96
