stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,474.41,9461.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.41,0,0,0,0,0,0,0,0
  5-6,686.52,10205.84,6.13,0,0,0,0,0,0,0,0,0,0,0,183.89,12.26,0,0,42.91,196.15,0,0,0,0,0,0,0,0
  7-9,52.57,57.83,26.29,0,197.15,0,0,0,18.4,0,0,0,0,0,2074.05,49.95,0,0,691.35,2.63,47.32,0,0,0,0,0,0,0
 10-12,0,15.73,9.44,0,44.06,0,0,0,3.15,0,0,0,0,0,210.85,3.15,0,0,122.73,0,28.32,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,14,0,2,0,1,0,1,3,0,1,52,2,0,1,5,1,4,16,0,12,11,0,0,0
 24-34,0,0,0,0,9.85,0,0,0,0,0,0,1.64,0,0,38.58,1.64,0,0.82,0,1.64,0,0,0,0.82,8.21,0.82,0,0.82
 36-46,0,0,0,0,5.64,0.81,1.61,0,0,0,0,0.81,0,0,8.06,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,14.92,0,1.15,0,0,1.72,0,0.57,0,0.57,3.44,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,13.74,0,2.94,0,0,0.98,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,1.06,4.25,0,4.25,0,0,0,0,0,1.06,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,4.37,0,2.19,1.09,0,0,0,2.19,0,1.09,6.56,0,0,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0.77,0,2.3,0,6.13,0,0,0,0,0.77,0,0,6.13,0,0,0,0,0.77,1.53,0,0,0,0,0,0.77,0
120,0,0,0,1.96,9.8,0,5.88,0,0,0,0,3.92,0,0,13.72,0,0,0,0,0,1.96,0,0,0,0,0,0,0
