stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,9,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,62.39,0,0,0,0,0,0,41.04,0,0,0
 36-46,0,0.81,0,0,4.03,0,1.61,0,0,0,0,0,0.81,0,1.61,157.11,0,0,0,0,0,0,74.12,0,0,0
 48-58,0,1.72,0,0,10.9,0,3.44,0,0,0.57,0,0,2.3,0.57,0,225.51,0,0,0,0,0,0,56.23,0.57,0,0.57
 60-70,0,0,0,0,10.8,0.98,6.87,0,0.98,0,0,0,4.91,0,0,432.85,0.98,0,0,0,0,0,57.91,0,0,0
 72-82,0,2.94,0,0,35.34,1.96,14.72,0,0,0,0,0.98,5.89,1.96,0,485.92,0,0,0.98,0,0,0.98,41.23,0,0,0
 84-94,0,4.25,0,0,36.11,0,7.43,0,0,0,0,0,5.31,0,0,243.21,0,0,0,0,0,1.06,20.18,0,0,0
 96-106,0,3.28,0,0,21.86,0,10.93,1.09,0,0,0,0,3.28,1.09,1.09,219.66,0,0,0,0,0,0,15.3,1.09,0,1.09
108-118,0,0,0.77,0,18.38,0,6.89,0,0,0,0.77,0,4.6,0,0,245.11,0.77,1.53,1.53,0,0,0,9.19,0,0.77,0
120,0,5.88,0,1.96,5.88,0,9.8,1.96,0,0,0,0,1.96,0,0,264.57,0,0,0,0,1.96,1.96,11.76,0,1.96,0
