stage,axial,blastomeres,endoderm,epidermis,eye,ionocyte,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,318.74,0,0,0,0,0,18.39,0,0,6.13,0,0
  7-9,2.63,7.89,0,0,13.14,0,0,120.92,5.26,0,65.72,0,0
 10-12,0,0,9.44,0,3.15,0,0,22.03,0,0,12.59,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0.57,2.3,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0.98,4.91,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,1.09,0,0,0,2.19,0
108-118,0,0,0,0,0.77,0.77,0.77,0.77,0,0,0,0.77,0.77
