stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,0,1,0,3,4,1,0,0,1,1,0,0,0,0,22,0,13,7,0,1,0,0,2,0,7,52,14,0,2,0,0
 24-34,0,0,0,0.82,0.82,1.64,4.1,0,1.64,0,0.82,0.82,0,0,0,31.19,0,26.27,42.68,1.64,0,0,0,0,0,0,7.39,53.36,0,3.28,0,0
 36-46,0,0,0,0,0,0,7.25,0,1.61,0.81,0,0.81,0,0,0,38.67,0,16.92,59.62,4.03,0,0,0,0,0,0,0,66.06,0,1.61,0,0
 48-58,0,0,0,0.57,0.57,0,7.46,0,2.87,1.72,0,1.15,0,0,0,22.95,0,10.33,71.15,0,0.57,0,1.15,0,0,0.57,0,42.46,0,1.15,0,0
 60-70,0,0,0.98,0,0.98,0,19.63,0,2.94,4.91,0,0,0,0,0.98,94.23,0,8.83,98.15,0,0,0,1.96,0,0,0,0,67.73,0,0,0,0
 72-82,0,0,0,0,0,0,20.61,0,0,6.87,0,0,0,0,0,140.38,0,9.82,135.47,0,0,0,0.98,0,0.98,0,0,48.1,0,5.89,0,0
 84-94,0,0,0,0,1.06,0,14.87,0,1.06,7.43,1.06,0,1.06,0,0,95.58,0,8.5,53.1,1.06,0,0,0,0,0,0,0,36.11,0,4.25,1.06,0
 96-106,0,0,2.19,0,1.09,0,22.95,0,0,9.84,1.09,0,0,0,0,85.24,0,4.37,68.85,0,0,0,1.09,0,0,0,0,18.58,0,3.28,0,0
108-118,0,0,0.77,0,3.06,0,8.43,0,0.77,3.06,0,0,0.77,0,0,102.64,0.77,8.43,67.4,0,0.77,0,1.53,0,0,0,0,10.72,0.77,3.83,0,0
120,0,0,0,0,3.92,0,7.84,3.92,0,1.96,0,0,5.88,1.96,0,72.51,0,7.84,99.95,0,0,0,1.96,0,1.96,0,0,15.68,0,3.92,1.96,1.96
