stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,20,0,0,0,0,1,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,40.22,0,3.28,0,0,0.82,14.78,0,0,0,0,0,0.82,0,0,4.1,0,0,0,0,1.64
 36-46,0,0,0.81,0,0,3.22,0,0,0,0,0,0,0,0,0.81,0,0,18.53,0,4.03,0,0,0,21.75,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0.57,0,0,6.89,0,0.57,0,1.72,0,0,0,0,0.57,0,0,16.07,0,1.15,0,0,0,27.54,0,0,0,0,0,0,0,0,7.46,0,0,0,0,0
 60-70,0,0,1.96,0.98,0,9.82,0,0.98,0,0.98,0,1.96,0,0,0,0,0,34.35,0,0.98,0,0.98,0,23.56,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0
 72-82,0,0.98,5.89,4.91,0,36.32,0,0.98,0,8.83,2.94,2.94,1.96,0.98,0.98,0,0,172.77,0,22.58,1.96,0,0.98,102.09,0.98,2.94,0,0,0,6.87,0,0,8.83,0,1.96,0.98,1.96,1.96
 84-94,0,0,6.37,7.43,2.12,31.86,1.06,1.06,1.06,2.12,4.25,5.31,0,2.12,4.25,2.12,0,509.78,0,15.93,0,0,2.12,76.47,0,1.06,1.06,0,0,12.74,0,1.06,5.31,2.12,0,3.19,2.12,0
 96-106,0,2.19,54.64,49.18,10.93,115.84,2.19,9.84,4.37,48.09,19.67,0,3.28,18.58,9.84,4.37,5.46,832.75,3.28,121.31,3.28,6.56,12.02,362.83,5.46,3.28,8.74,0,3.28,74.31,1.09,2.19,5.46,5.46,4.37,29.51,8.74,7.65
108-118,0,2.3,44.43,15.32,28.34,162.38,3.83,9.96,7.66,46.72,18.38,0,0,14.55,16.09,9.96,3.83,1560.27,4.6,97.28,3.06,4.6,19.92,418.98,6.13,8.43,9.19,0,3.06,60.51,2.3,3.06,10.72,3.06,0.77,12.26,1.53,10.72
120,0,0,31.36,17.64,11.76,60.75,5.88,7.84,5.88,33.32,11.76,0,0,7.84,5.88,1.96,1.96,858.39,0,78.39,0,5.88,5.88,299.85,5.88,3.92,3.92,0,1.96,41.16,1.96,0,7.84,1.96,5.88,13.72,5.88,5.88
