stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,361.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,15.77,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,3,2,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,3,0,0,0,4,2,0,0,0,0,6,1,6,18,2,0,0,4,0,0
 24-34,0,0,3.28,0,4.93,0,0,2.46,0.82,0,0,0,0,0,1.64,0,0,0,0.82,0,0,13.95,0,0,4.93,18.88,1.64,0.82,0.82,0,0,99.32,1.64,27.91,9.85,5.75,0,0,18.06,0,0.82
 36-46,0,0,2.42,0,4.83,0,0,4.03,4.83,0.81,0,1.61,0,0,0.81,0,0,0,0,0,0,20.14,0.81,0,5.64,21.75,7.25,0.81,0.81,0,0,128.1,1.61,19.34,1.61,10.47,0,0,17.72,0,0.81
 48-58,0,0,2.3,0,9.75,0,0,13.2,9.18,1.72,0.57,12.05,0,0,0.57,0.57,0,0,1.15,0,0,28.69,1.15,0,1.72,34.43,9.18,0.57,0,0,0.57,99.84,0.57,32.71,0,9.75,0,0.57,32.71,0,4.59
 60-70,0,0,0.98,0,21.59,0,0,25.52,13.74,5.89,0,47.11,0.98,0,1.96,0.98,0.98,0,3.93,0,0,69.69,0.98,1.96,3.93,33.37,7.85,0.98,0.98,0,1.96,122.69,2.94,19.63,0,5.89,0,0.98,48.09,0,2.94
 72-82,0,0,4.91,0,51.05,1.96,0,96.2,11.78,0.98,0,94.24,2.94,0,3.93,0,3.93,0.98,5.89,1.96,0,143.32,0.98,4.91,4.91,70.68,2.94,0.98,5.89,0,2.94,207.13,0.98,22.58,0,2.94,1.96,3.93,133.51,3.93,12.76
 84-94,0,0,4.25,0,118.95,1.06,0,113.64,6.37,7.43,0,58.41,3.19,0,5.31,2.12,15.93,5.31,7.43,9.56,0,94.52,3.19,2.12,4.25,43.54,5.31,22.3,1.06,0,6.37,588.37,6.37,39.3,0,3.19,0,2.12,105.14,5.31,21.24
 96-106,0,0,4.37,0,314.74,8.74,2.19,160.65,13.11,19.67,2.19,62.29,5.46,0,16.39,4.37,45.9,4.37,24.04,4.37,0,133.33,8.74,5.46,12.02,75.41,8.74,19.67,4.37,0,9.84,888.48,3.28,49.18,0,9.84,8.74,3.28,173.76,3.28,30.6
108-118,1.53,0,5.36,0.77,346.22,1.53,3.83,153.96,16.09,23.74,2.3,62.04,16.09,0,8.43,2.3,79.66,16.09,25.28,6.89,1.53,105.7,14.55,6.13,8.43,63.57,6.89,19.15,3.06,0,10.72,758.3,10.72,40.6,0,3.06,12.26,1.53,136.34,4.6,38.3
120,0,0,3.92,0,266.53,5.88,0,96.03,5.88,19.6,0,48.99,7.84,0,13.72,0,27.44,7.84,17.64,5.88,0,88.19,11.76,1.96,9.8,56.83,3.92,15.68,7.84,0,13.72,529.14,7.84,17.64,0,3.92,0,3.92,160.7,1.96,15.68
