stage,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
 14-21,2,5,4,2,2,0,0,0,1,0,69,2,0,1,3,5,12,27,0,0
 24-34,0.82,1.64,0.82,8.21,0.82,0,0,0,4.1,0,27.91,0,0,0,1.64,0,0.82,6.57,1.64,0
 36-46,0,0,0,13.7,0,0.81,0,0,2.42,2.42,29,0,0.81,0,0,0,0,3.22,0,0
 48-58,0,0.57,0,13.2,1.72,0,0,0,2.3,1.72,14.92,0,0,0,0.57,0,0,0.57,0,0
 60-70,0,0,0,9.82,0.98,0,0,0,1.96,0,25.52,0,0,0,1.96,0,0,0.98,0,0
 72-82,0,0.98,0,11.78,2.94,0,0,0,1.96,0.98,32.39,0,0,0,0,0,0,2.94,0,0.98
 84-94,0,0,0,5.31,0,1.06,0,0,2.12,1.06,13.81,0,0,0,1.06,0,0,0,0,0
 96-106,0,2.19,0,4.37,5.46,0,1.09,1.09,1.09,0,6.56,0,1.09,0,4.37,0,0,0,0,0
108-118,0,0.77,0,2.3,1.53,0,0,0,0.77,0,5.36,0,0,0,0,0,0,0,0,0
120,0,1.96,0,1.96,0,0,1.96,0,0,1.96,9.8,0,0,0,1.96,0,0,0,0,0
