stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,29,0,0,0,1,0,1,9,0,0,9,7,0,0,0,0,1
 24-34,0,1.64,0.82,1.64,2.46,0,46.79,0,0.82,0.82,0.82,0,0,0,2.46,0.82,0,1.64,0,0.82,11.49,0.82,0,3.28,114.1,3.28,1.64,2.46,0,0,3.28,0,0.82,0.82,8.21,20.52,0,0,2.46,0,0
 36-46,0,0.81,0,1.61,0.81,0,37.87,1.61,0.81,1.61,5.64,0,0,0,2.42,1.61,3.22,0,0,0.81,4.03,0,0,2.42,87.82,0,1.61,0,0,0,4.83,0,2.42,0.81,0,20.14,0,0,1.61,0,0.81
 48-58,0,0,0,4.02,0,0,81.48,0.57,1.15,0.57,6.31,0.57,0,0,2.87,0,1.15,0.57,0.57,0,18.36,0,1.15,4.02,118.2,0.57,2.87,0.57,0,0,2.3,0,0.57,1.15,0,15.49,0,0,1.72,0,2.3
 60-70,0,0,0,3.93,0.98,0,113.86,0.98,1.96,1.96,17.67,6.87,0,0,2.94,2.94,1.96,0.98,1.96,0,20.61,0,0,4.91,117.78,0,2.94,1.96,0,0,11.78,0,1.96,0.98,0,19.63,0.98,3.93,1.96,0,0
 72-82,0,1.96,0,8.83,4.91,0,135.47,0.98,0,1.96,17.67,2.94,0,0.98,5.89,0.98,0.98,0,0.98,0,46.14,1.96,1.96,5.89,128.6,0,7.85,1.96,0,0,6.87,0,1.96,0.98,0,18.65,0.98,1.96,2.94,0.98,1.96
 84-94,0,2.12,0,10.62,8.5,0,138.06,0,0,6.37,24.43,8.5,0,0,8.5,1.06,5.31,1.06,3.19,0,35.05,0,2.12,7.43,91.34,2.12,3.19,4.25,0,1.06,55.23,0,2.12,0,0,13.81,0,0,3.19,2.12,2.12
 96-106,0,3.28,0,14.21,5.46,0,86.33,1.09,0,3.28,16.39,6.56,0,1.09,6.56,4.37,0,3.28,4.37,0,40.44,1.09,1.09,9.84,61.2,2.19,6.56,4.37,0,0,30.6,0,2.19,2.19,0,5.46,0,3.28,6.56,1.09,0
108-118,0,2.3,0,20.68,8.43,1.53,84.26,0.77,5.36,2.3,19.92,5.36,0,1.53,8.43,3.83,3.83,4.6,6.13,0.77,46.72,1.53,2.3,15.32,80.43,0.77,6.13,9.19,0,0.77,45.19,0,1.53,1.53,0,4.6,0,1.53,9.19,0.77,3.83
120,0,5.88,1.96,25.48,5.88,1.96,50.95,0,5.88,1.96,13.72,11.76,0,7.84,5.88,0,0,0,3.92,1.96,56.83,1.96,1.96,13.72,97.99,3.92,5.88,7.84,0,0,47.03,0,1.96,3.92,0,3.92,1.96,1.96,9.8,1.96,3.92
