stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8,3,0,6,0,0,0,1,0,0,0,0,0,0,0,3,0,0,8,72,3,1,1,2,0,0,6,0,7,4,34,0,0,0,0,1
 24-34,0,0.82,1.64,0,0,20.52,0,0.82,0,6.57,0,0,0,1.64,0,0,0,13.95,0,0,7.39,149.4,0,1.64,0.82,0,0,3.28,0,1.64,0,1.64,46.79,0,0,0.82,0,0
 36-46,0,0,3.22,0,0,25.78,0.81,0,0.81,4.03,0,0,0,0,0,0,0,14.5,0,0.81,7.25,134.55,0,2.42,1.61,0,0,8.86,0,0.81,0.81,0,45.92,0,0,3.22,0,0
 48-58,0,0,1.72,1.15,0,52.79,0,0,1.72,9.18,0.57,0,0,0.57,1.15,0.57,0.57,18.36,0,0,4.59,197.39,0,0,1.15,0,0,4.02,0,0,1.15,0,41.31,0,0.57,1.15,0,1.72
 60-70,0,0,2.94,0,0,64.78,0,1.96,0,13.74,0,0.98,0.98,0,0,0,0,19.63,0.98,0,0,159.01,0.98,0,0.98,0,0,2.94,0,0.98,0,0,28.46,0,0,0.98,0,0
 72-82,0,0,4.91,1.96,0,89.33,0,0.98,2.94,17.67,4.91,0,1.96,0,0,1.96,0.98,23.56,0,0.98,1.96,199.28,0,1.96,1.96,0,0.98,2.94,0,0,0,0,22.58,0.98,0.98,1.96,0.98,0
 84-94,0,0,12.74,3.19,0,80.71,0,3.19,2.12,15.93,4.25,0,2.12,1.06,0,0,2.12,19.12,1.06,1.06,2.12,137,1.06,1.06,1.06,0,0,11.68,0,1.06,2.12,0,20.18,1.06,0,0,0,1.06
 96-106,1.09,0,5.46,1.09,0,74.31,1.09,0,0,8.74,2.19,1.09,0,2.19,0,2.19,1.09,24.04,0,0,5.46,92.89,0,4.37,3.28,0,1.09,9.84,0,0,1.09,0,2.19,1.09,1.09,2.19,1.09,0
108-118,0,0,6.13,0.77,3.06,47.49,0,0,1.53,9.96,2.3,0,0.77,3.06,1.53,1.53,0.77,16.09,0.77,0.77,0.77,87.32,0.77,0.77,3.06,0,0.77,5.36,0,0.77,0,0,5.36,0,0,2.3,0.77,1.53
120,0,0,15.68,1.96,0,54.87,0,1.96,1.96,19.6,0,0,3.92,3.92,1.96,0,0,11.76,0,0,0,113.67,0,1.96,0,0,1.96,5.88,0,0,0,0,3.92,0,1.96,5.88,1.96,0
