stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,660,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,11,2,0,1,3,2,0,11,0,0,1,1,0,1,1,1,0,0,0,0,0
 24-34,0,0,1030.17,0.82,0,21.34,0,13.13,0,0.82,0,0,0,0.82,0.82,25.45,0,0.82,45.15,18.88,0,3.28,81.26,9.85,2.46,25.45,0,0,4.93,0,0,0,1.64,15.6,0,0,4.93,0,1.64
 36-46,0,0,692.07,0,0,12.89,0,36.26,0,1.61,0,0.81,0,0.81,0,29.81,0,0,82.18,12.09,0,4.83,83.79,7.25,4.03,28.2,0,0.81,5.64,0,0,0,0,20.14,0,0,0.81,0,1.61
 48-58,0.57,0,640.94,0,0,48.2,1.72,65.99,1.72,7.46,0,0,1.15,0.57,0,16.64,0,1.72,144.6,8.03,0,4.59,96.4,0.57,2.3,27.54,0,0,2.3,0,0,0,0,21.8,0,0,1.15,0,0.57
 60-70,0,0,679.21,0,0,46.13,0,64.78,1.96,6.87,0.98,0,0,0,0,12.76,0,0,196.3,13.74,0.98,5.89,68.71,0,3.93,25.52,0,0.98,0.98,0,0,0,0,4.91,0,0,0,0.98,5.89
 72-82,0,0,703.85,1.96,0,47.12,0,88.35,0.98,2.94,0,0,0.98,0,0,13.74,0.98,0,197.31,11.78,0.98,3.93,37.3,0.98,3.93,38.28,0.98,0,3.93,0,0,0.98,0,8.83,0,0,1.96,0,0.98
 84-94,0,0,1367.9,0,0,39.3,0,182.67,1.06,3.19,0,0,2.12,1.06,0,10.62,2.12,0,112.58,19.12,0,1.06,13.81,1.06,8.5,40.36,0,0,2.12,0,2.12,0,0,2.12,1.06,0,1.06,3.19,0
 96-106,0,0,1327.81,2.19,0,150.81,1.09,162.83,0,3.28,2.19,2.19,2.19,0,0,10.93,0,0,98.36,27.32,0,4.37,27.32,1.09,8.74,46.99,0,0,4.37,0,0,1.09,0,1.09,0,1.09,2.19,3.28,0
108-118,0,0,1243.92,0,0.77,127.92,0,206.04,0.77,1.53,0,0,0.77,0,1.53,8.43,0.77,0,77.36,9.96,0.77,2.3,28.34,0.77,7.66,39.06,0,1.53,0.77,0,0,0,0,0.77,0,1.53,0.77,0.77,0
120,0,0,693.76,0,0,237.13,0,97.99,0,0,3.92,0,0,0,0,0,1.96,0,39.2,3.92,0,0,27.44,0,0,27.44,0,0,5.88,0,0,0,0,0,0,0,1.96,0,1.96
