stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,23.66,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,12.59,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,330.43,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0
 14-21,1,0,0,11,7,0,2,0,1,1,0,0,2,0,3,1512,0,0,0,1,0,2,0,10,7,154,0,0,0
 24-34,0,0,0,3.28,9.03,0.82,6.57,0,0,0,0,1.64,9.85,0,4.1,1544.85,0,0,0,0,0,0,0.82,0,2.46,453.93,0,2.46,0.82
 36-46,0,0,0,0,8.86,0,38.67,0,0,0,0,0,4.83,0,2.42,880.6,0.81,0.81,0,0.81,0,0,1.61,0,0,516.43,0,2.42,0
 48-58,0,0,0,0.57,9.18,0,105.01,0,0,0,0,0.57,3.44,0,0,227.23,0,0,0,1.15,0,0,0,0.57,0,269.69,0,0.57,0
 60-70,0,0,0,0.98,6.87,0,135.45,0,0,0,0,0,2.94,0,0,39.26,0,0,0,0.98,0,0,0,0,0,89.32,0,0,0
 72-82,0,0,0,0,9.82,0,154.12,0,0,0,0,0,0.98,0.98,0,27.49,0,0.98,0,0,0,0,0,0,0,14.72,0.98,0.98,0.98
 84-94,0,0,0,2.12,11.68,0,94.52,0,0,0,0,0,1.06,0,0,15.93,0,0,0,0,0,0,0,0,0,12.74,0,0,1.06
 96-106,0,0,0,0,7.65,0,62.29,0,0,0,1.09,0,2.19,0,0,14.21,0,0,0,0,0,0,0,0,0,3.28,0,0,0
108-118,0,0,0,1.53,3.06,0,68.17,0.77,0,0,0,0,0,0.77,0,9.19,0,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,9.8,0,82.31,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,1.96,0,0,0
