stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,15.77,0,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,0,0,15.6,0.82,0,0,0,0,4.1,0,0
 36-46,0,0,0,0,0,0,0.81,0.81,1.61,1.61,0,75.73,0,0,0,0,0,20.14,0,0
 48-58,0,0,0,0,0,0,4.02,0,1.72,0.57,0.57,106.73,0,0,0,0,0.57,22.38,0,0.57
 60-70,0,0,0,0,0,0,20.61,0,0.98,0.98,0,243.42,0,0,0,0,0,31.41,0.98,0
 72-82,0,0,0.98,0,0,0.98,15.71,0,2.94,0.98,0,205.17,0,0,0,0.98,0,11.78,0,0
 84-94,0,0,0,0,2.12,0,21.24,0,3.19,2.12,0,93.46,0,1.06,0,0,0,6.37,0,0
 96-106,0,0,0,0,0,0,14.21,0,3.28,0,0,87.43,0,1.09,0,0,0,4.37,0,0
108-118,0,0,0,0,0,0,13.02,0,1.53,0.77,0,75.06,0,0,0,0,0,1.53,0,0
120,0,0,0,0,1.96,0,5.88,0,0,1.96,0,68.59,0,0,0,0,0,5.88,0,0
