stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,533.28,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,23.66,0,0,15.77,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,215.55,7.89,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.58,3.15,0,0,40.91,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,18,1,8,0,0,0,3,1,0,0,0,0,0,0,0,0,13,0,0,9,87,4,1,0,2,0,2,11,1,0,13,33,0,0,0,0,0
 24-34,0,0,0,0,4.1,0,12.31,0,0,0,2.46,0,0,0.82,0,0.82,0,0.82,0,0,27.09,0,0,7.39,181.41,4.93,2.46,3.28,0,0,5.75,0,0.82,0,2.46,41.04,0,0,5.75,0,0
 36-46,0,0,0,0,0,0,32.23,0,0.81,0.81,4.83,0,0,0.81,0,0,0,0,0,0,22.56,0,0,5.64,183.69,2.42,0,2.42,0,0,2.42,0.81,0,0,0.81,39.48,0,0,1.61,0,0.81
 48-58,0,0,0,0,5.74,0,53.94,0,0,1.72,8.03,0,0,0.57,0,0,0.57,0,0.57,1.15,35,0,1.15,6.89,130.83,5.16,0.57,0.57,0,0,5.16,0,0,0.57,0,22.38,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,5.89,0,56.93,0,3.93,2.94,7.85,1.96,0,0.98,0,0.98,0,0.98,0,0,32.39,0,0,4.91,129.56,1.96,2.94,0,0,0,4.91,0,0,0,0,16.69,0,0.98,3.93,0,0
 72-82,0,0,0.98,0,3.93,1.96,75.59,0,0.98,0.98,11.78,0.98,0,0.98,0,0.98,0,1.96,0,0,61.84,0.98,2.94,7.85,123.69,0.98,3.93,0.98,0,0.98,6.87,0,0,0,0,16.69,0,0.98,3.93,0.98,0.98
 84-94,0,0,0,0,15.93,1.06,39.3,0,2.12,1.06,12.74,2.12,0,3.19,2.12,0,1.06,0,0,0,35.05,2.12,0,3.19,71.16,5.31,2.12,3.19,0,0,11.68,0,0,0,0,7.43,0,2.12,2.12,0,0
 96-106,0,0,0,0,3.28,2.19,32.79,1.09,0,1.09,16.39,1.09,0,2.19,2.19,2.19,0,1.09,1.09,0,27.32,0,3.28,2.19,52.46,4.37,2.19,3.28,0,0,19.67,0,1.09,0,0,3.28,1.09,0,5.46,0,1.09
108-118,0,0,0,0,10.72,0,37.53,0.77,0.77,1.53,9.96,3.83,0,0,1.53,2.3,3.06,0.77,0,2.3,22.21,0.77,0.77,3.83,63.57,0.77,0.77,3.06,0,1.53,13.79,0,0,0,0,0.77,0.77,0,1.53,0.77,0.77
120,0,0,0,0,11.76,0,29.4,0,1.96,1.96,5.88,1.96,0,0,1.96,5.88,0,0,0,0,25.48,0,1.96,3.92,82.31,1.96,3.92,1.96,0,0,3.92,0,1.96,0,0,5.88,0,0,3.92,0,0
