stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,lateral.line,mesenchyme,mucous,neural,olfactory,otic,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,6.13,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,3.28,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,4.03,0,0
 48-58,0,0,4.02,0,0,1.15,0,0,2.3,0,6.31,0,0
 60-70,0,0,3.93,0,0.98,3.93,0.98,0,5.89,0,13.74,0,0
 72-82,0,0.98,13.74,0,0,12.76,0,0,7.85,0,32.39,0,3.93
 84-94,0,0,6.37,1.06,0,14.87,0,0,3.19,0,60.54,1.06,0
 96-106,0,0,7.65,0,1.09,33.88,4.37,1.09,2.19,0,77.59,0,0
108-118,0,0,2.3,0,1.53,17.62,1.53,0,3.83,0.77,49.02,0,0
120,0,0,1.96,0,1.96,19.6,0,0,5.88,0,52.91,0,0
