stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,5.75,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,3.22,0,0,0,0.81,0
 48-58,0,0.57,0,0,0.57,0.57,0,0,0.57,0.57,0,0.57,0.57,0,0,1.15,0,1.15,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,1.96,0,0,2.94,0,0,0,0,1.96,0,0.98,0,0,0
 72-82,0,2.94,0,0,0.98,0,0,0,0,7.85,0,0,2.94,0,0,0,0,1.96,0,0,0.98,0,0
 84-94,0,1.06,0,1.06,0,1.06,0,0,0,21.24,0,0,2.12,0,0,1.06,0,1.06,0,0,0,1.06,0
 96-106,0,4.37,0,3.28,2.19,2.19,0,1.09,0,25.14,1.09,0,6.56,0,0,1.09,0,4.37,0,0,0,1.09,1.09
108-118,0,0.77,0.77,20.68,1.53,0.77,1.53,0,0,57.45,0.77,0,4.6,0,0.77,0.77,0,0.77,0,0,0,0,0
120,0,1.96,0,5.88,0,0,0,0,0,52.91,0,0,3.92,1.96,0,0,1.96,3.92,0,0,0,0,0
