stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.04,3.15,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,2,474,2,0,1,0,0,0,0,0,0,0,18,0,0,0,1,0,0,10,2,0,1,0,1,0,3,0,0,8,1,0,0,0,0
 24-34,0,0,13.13,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,2.46,0.82,0,0,0,0
 36-46,0,0,0.81,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,4.83,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,17.21,0,0,0.57,1.15,0,0,0,0,0,0,0,3.44,0,0,18.36,0,0.57,0,0,0,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,383.78,0,0,0,2.94,0,0,0,0,0,0,0,2.94,0,0,27.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,3.93,0.98,0,1070.01,0,0,0.98,17.67,0,0,0,0,0,0,0.98,13.74,0,0,48.1,0,0,0.98,0,0,0,0,0,0,0,6.87,0,2.94,0,0.98
 84-94,0,0,6.37,1.06,0,738.12,1.06,0,0,24.43,0,0,0,1.06,0,1.06,1.06,24.43,1.06,1.06,31.86,1.06,1.06,1.06,0,0,0,0,0,0,0,1.06,1.06,0,1.06,1.06
 96-106,0,0,10.93,4.37,2.19,1128.91,1.09,1.09,0,28.41,2.19,0,0,2.19,2.19,0,1.09,56.83,0,2.19,63.39,1.09,0,0,0,4.37,1.09,0,1.09,2.19,0,3.28,1.09,3.28,1.09,4.37
108-118,0,0,6.89,3.06,1.53,662.56,0.77,0.77,1.53,13.02,0,0.77,2.3,0.77,0,0,0.77,39.06,0.77,0,39.06,0.77,0,1.53,0,3.06,0.77,0,0,0,0,0.77,0,0.77,2.3,0.77
120,0,0,3.92,3.92,0,417.43,1.96,1.96,0,5.88,1.96,0,0,0,0,0,1.96,21.56,0,1.96,47.03,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
