stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,76.23,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,103.85,0,0,0,22.03,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,21,6,0,9,0,1,0,6,2,1,0,0,1,0,0,0,9,0,0,10,115,0,0,0,2,0,3,14,0,16,47,0,0,2,0,0
 24-34,0,0,0.82,0.82,1.64,0,0,15.6,0,0,0,2.46,0,0,0,0,0,0,0.82,0,8.21,0,0,5.75,105.89,0,0.82,3.28,0,0,3.28,0,0,2.46,22.98,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,27.39,0,0,0.81,3.22,0,0,0,0,0,0.81,0,0.81,12.89,2.42,1.61,4.83,98.29,0,0.81,0,0,0,2.42,0.81,0,0,23.36,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,37.87,0,0,1.72,8.61,0,0,0,0.57,0,0,0.57,0.57,17.21,0,0,5.74,114.76,0,1.15,0.57,0,0,2.3,0,0,0,17.79,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,39.26,0,0,0,3.93,0,0,0,0.98,0,0,0,0,9.82,0,0,0,80.48,0.98,0,0,0,0,4.91,0,0,0,12.76,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,1.96,0,76.57,0,0.98,0.98,31.41,0,0,0.98,4.91,0,0,2.94,0,45.16,2.94,1.96,7.85,177.68,0,3.93,4.91,0,0,8.83,0,0,0,11.78,0,2.94,5.89,0,0.98
 84-94,0,0,1.06,0,5.31,3.19,0,47.79,1.06,1.06,0,15.93,0,0,1.06,1.06,1.06,2.12,1.06,0,38.23,0,3.19,0,110.45,0,2.12,1.06,0,0,38.23,0,0,0,9.56,0,0,5.31,2.12,0
 96-106,0,0,0,0,9.84,3.28,1.09,41.53,1.09,1.09,0,16.39,1.09,0,1.09,3.28,2.19,1.09,0,1.09,30.6,0,0,2.19,75.41,1.09,2.19,2.19,0,2.19,17.49,0,0,0,5.46,0,0,9.84,1.09,1.09
108-118,0,0,0.77,0,9.96,1.53,1.53,26.04,0,0.77,1.53,19.15,0.77,0,0.77,6.13,2.3,3.83,0,0,37.53,0,0.77,4.6,96.51,0,1.53,4.6,0,0.77,36,0,0.77,0,4.6,1.53,1.53,3.83,0.77,0.77
120,0,0,0,0,3.92,3.92,0,25.48,0,5.88,0,11.76,0,0,0,3.92,1.96,0,0,1.96,25.48,0,0,1.96,66.63,1.96,3.92,1.96,0,0,31.36,0,0,0,9.8,0,0,1.96,1.96,0
