stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,36,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,3.28,0,0,9.03,0,0,0,2.46,0,2.46,0,0.82,0,0,0.82,0,6.57,0.82,1.64,201.93,0,4.93,1.64,0,1.64,0,27.09,0,1.64,0,0
 36-46,0,0,0,0,0,0,12.89,0,0,0,6.45,0,0.81,0,0,0,0,0,0,12.09,0.81,1.61,373.02,0,12.09,0,0,0.81,0,38.67,0,0,0,0.81
 48-58,0,0,0,4.59,0.57,0,25.82,0,0,1.15,20.66,0,0,0,0,0,0,0,0.57,17.21,2.87,4.02,539.95,0.57,13.77,0,0.57,1.15,0,53.94,0,0,0,0
 60-70,0,0,0,10.8,0.98,0,98.15,0,0.98,0.98,57.91,0,1.96,0,0,0.98,0,0,0,30.43,3.93,2.94,1262.24,0,14.72,0,0,1.96,0,89.32,0,0,0.98,1.96
 72-82,0,0.98,0,14.72,0,0,172.77,0,0.98,2.94,79.51,0,0,0,0,0,0,0.98,0.98,46.14,5.89,8.83,1260.45,0.98,44.17,0,0,1.96,0,84.42,0,0,1.96,0.98
 84-94,0,0,0,27.61,2.12,0,132.75,1.06,1.06,0,46.73,0,0,2.12,0,1.06,0,3.19,0,22.3,4.25,5.31,651.03,0,33.99,0,0,5.31,1.06,49.92,0,2.12,1.06,0
 96-106,0,1.09,0,22.95,0,0,126.77,1.09,1.09,0,48.09,1.09,2.19,0,1.09,1.09,1.09,0,0,34.97,2.19,5.46,602.16,0,65.57,0,0,4.37,1.09,25.14,1.09,4.37,0,2.19
108-118,0,0,0,22.98,1.53,0,93.45,0,0.77,1.53,49.02,0.77,0,2.3,0.77,0.77,0,0.77,0,26.81,1.53,2.3,587.49,0,22.98,0.77,0,3.06,0,20.68,0,0.77,2.3,0
120,0,0,0,37.24,3.92,1.96,86.23,0,0,1.96,45.08,0,0,1.96,0,0,0,0,0,23.52,1.96,3.92,764.32,0,33.32,0,0,1.96,0,29.4,0,0,0,1.96
