stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0.57,0,0.57,1.72,0,0,0,0.57,0.57,0,4.59,0,0,0,0.57,0,0,0
 60-70,0,0,0,0.98,2.94,0,0,0,0,0,0.98,2.94,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,1.96,1.96,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,2.12,1.06,4.25,1.06,0,0,0,0,0,0
 96-106,0,1.09,2.19,2.19,1.09,0,0,1.09,0,5.46,4.37,4.37,0,2.19,0,0,0,1.09,1.09
108-118,0,0,0,0.77,2.3,0.77,0,0,0,0,1.53,5.36,0.77,1.53,0.77,0,0,0,0
120,0,0,0,1.96,9.8,0,0,1.96,0,1.96,1.96,3.92,0,1.96,1.96,0,0,0,0
