stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,1.64,0,9.85,0.82,0,0,0,0,0,0.82,0,1.64,0,0,0,13.95,0,0,0,1.64,0,0
 36-46,0,0,0,29.81,0.81,0,0,0,0,0,0,0.81,2.42,0,0,0,24.17,0,0,0.81,6.45,0.81,0
 48-58,0,0.57,0,25.82,0,0.57,0,0,0.57,0,0,0,1.15,0,0,1.72,12.05,0.57,0.57,1.72,4.02,0,1.15
 60-70,0,0,0,37.3,0,2.94,0,0,0,0,0,0,1.96,0,0,0,12.76,0,0.98,0.98,3.93,0,0.98
 72-82,0,0.98,0,38.28,0.98,2.94,0,0,0,0,0,0,5.89,0.98,0,0,11.78,0,0,0,0,0.98,0
 84-94,0,1.06,0,30.8,0,0,1.06,0,0,0,0,0,0,0,1.06,0,4.25,0,0,1.06,2.12,0,0
 96-106,0,0,1.09,18.58,0,2.19,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0.77,0,19.15,0.77,0.77,0.77,0,0,0.77,0,0,2.3,0,0,0,3.83,0,0,0,0,0,0
120,0,0,0,15.68,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
