stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,71,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,31,0,0
 24-34,0,0.82,0,1.64,5.75,2.46,0,0,0,8.21,0.82,0,0,0.82,0,0,10.67,0.82,0.82,0,0,0,4.93,0,0,0.82,1.64,0,0,133.8,0,0.82
 36-46,0,0,0,0.81,0.81,0.81,0,0,0,5.64,0,0,0,0,0,0,12.09,0,1.61,0,0,0,0.81,0,0,0,3.22,0,0.81,97.49,0,0
 48-58,0,0,0,0,0.57,2.3,0,0.57,0,13.2,0,0,0,0,0,0.57,14.35,0,0,0,0,0,0.57,0,0,0,2.3,0,0,98.12,0,0
 60-70,0,0,0,0,0,6.87,0,1.96,0,13.74,0,0,0,1.96,0,0,35.33,0,0.98,0,0,0,0,0,0,0,2.94,0,0,95.21,0,0
 72-82,0,0,0,0,0,5.89,0,0,0,20.61,0,0,0,5.89,0,0,47.12,0,1.96,0,0,0,0,0,0,0,0.98,0,0.98,175.72,0,0
 84-94,0,0,0,0,0,7.43,0,0,0,12.74,1.06,0,0,4.25,0,0,36.11,0,0,1.06,0,0,0,0,0,0,0,0,0,170.99,0,0
 96-106,0,1.09,0,0,1.09,16.39,0,0,0,30.6,0,1.09,1.09,6.56,0,1.09,19.67,0,2.19,0,0,1.09,1.09,0,0,0,2.19,1.09,1.09,179.23,1.09,0
108-118,0,0,0,0,0.77,17.62,0.77,3.06,0.77,15.32,0.77,1.53,0.77,3.06,0,0,30.64,0,0.77,0.77,0,0.77,0,0,1.53,0,0,0,0.77,141.7,0,0
120,0,0,0,3.92,0,27.44,0,0,0,11.76,0,0,0,5.88,1.96,0,27.44,0,0,0,0,3.92,1.96,0,0,0,0,0,0,99.95,0,0
