stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,12.59,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,14,6,0,2,0,0,0,1,3,1,3,0,1,0,0,0,0,6,0,0,6,53,9,0,1,1,0,3,0,2,12,16,16,0,0,2,0,0
 24-34,0,0,3.28,3.28,13.95,0.82,0,19.7,2.46,0,1.64,2.46,0.82,0,8.21,0.82,1.64,0,1.64,0.82,0.82,34.48,0.82,0,27.91,253.64,7.39,0,3.28,0,0,18.06,0,8.21,7.39,22.16,49.25,0,0,9.85,0,1.64
 36-46,0,0,1.61,0,3.22,0.81,0,24.98,0.81,0,0,2.42,1.61,0,8.06,0,1.61,0.81,0,0,2.42,37.87,0.81,1.61,13.7,202.22,4.83,3.22,3.22,0,0.81,16.92,0,2.42,0.81,1.61,46.73,0,0,6.45,0,1.61
 48-58,0,0,1.72,0,5.74,0,0,45.33,1.15,1.72,4.59,10.9,1.15,0,4.59,0,2.87,1.72,3.44,0.57,4.59,47.63,0.57,4.02,13.77,161.24,1.15,0,1.72,0,0,10.9,0,3.44,4.02,0,33.85,0,0.57,3.44,0,1.15
 60-70,0,0,0,0,7.85,0,0,64.78,1.96,5.89,4.91,12.76,3.93,0,1.96,1.96,1.96,1.96,0.98,1.96,0.98,64.78,1.96,1.96,8.83,182.56,2.94,1.96,1.96,0,0,9.82,0,6.87,5.89,0,32.39,1.96,4.91,5.89,0.98,2.94
 72-82,0,0,0,0,12.76,1.96,0,67.73,1.96,7.85,8.83,7.85,15.71,0.98,0.98,3.93,4.91,0,0,0,0,76.57,3.93,5.89,15.71,206.15,5.89,0.98,19.63,0,0.98,30.43,0,7.85,3.93,0,17.67,1.96,3.93,7.85,3.93,0.98
 84-94,0,0,2.12,0,18.05,2.12,0,45.67,1.06,16.99,5.31,6.37,19.12,0,1.06,3.19,5.31,3.19,3.19,8.5,1.06,70.09,1.06,6.37,10.62,98.77,4.25,1.06,24.43,0,0,60.54,0,37.17,3.19,0,8.5,1.06,3.19,3.19,1.06,1.06
 96-106,0,0,1.09,0,16.39,4.37,1.09,31.69,5.46,12.02,2.19,15.3,61.2,0,5.46,3.28,9.84,2.19,4.37,9.84,2.19,37.16,2.19,6.56,2.19,124.58,4.37,3.28,24.04,0,1.09,61.2,0,27.32,2.19,0,6.56,2.19,2.19,13.11,5.46,2.19
108-118,0,0,3.06,0,20.68,9.96,0.77,36,6.13,23.74,2.3,6.13,59.75,0,2.3,5.36,5.36,4.6,5.36,11.49,4.6,42.89,0.77,4.6,9.19,117.19,3.83,0,23.74,0,0.77,45.19,0,31.4,5.36,0,3.83,1.53,1.53,8.43,2.3,0.77
120,0,0,0,0,31.36,11.76,1.96,29.4,3.92,15.68,7.84,23.52,54.87,0,1.96,7.84,3.92,5.88,5.88,9.8,1.96,33.32,1.96,7.84,7.84,105.83,9.8,1.96,15.68,0,3.92,56.83,0,29.4,0,0,5.88,0,3.92,1.96,0,5.88
