stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,1,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0.82,0.82,0,0,0.82,0,0,0,3.28,0.82,0.82,0,0.82,0,0,0,8.21,0.82,2.46,0,0,4.1,0,0,1.64,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,10.47,0,0,0,0.81,0,0,0.81,3.22,0,0,0,0,2.42,0.81,0,1.61,0,0,0,0
 48-58,0,0.57,0,0.57,1.15,0,0,0.57,0,13.2,0.57,0.57,0,2.3,0.57,0,0,8.61,0,1.15,0,0,2.87,0,0,1.72,0,0,0,0
 60-70,0,0,1.96,0,1.96,0,0,3.93,0,18.65,0.98,0,0,3.93,0,0,0,5.89,1.96,0,0,0,0.98,0,0,2.94,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,2.94,0.98,20.61,0,0.98,0,6.87,0,0.98,0,8.83,3.93,2.94,0,0.98,3.93,0,0.98,2.94,0,0.98,0.98,0.98
 84-94,0,0,2.12,0,0,1.06,1.06,1.06,0,38.23,0,0,0,4.25,0,1.06,0,5.31,0,1.06,0,0,11.68,0,1.06,0,2.12,0,1.06,0
 96-106,0,0,9.84,0,2.19,3.28,0,1.09,5.46,42.62,1.09,1.09,0,4.37,0,0,1.09,5.46,1.09,3.28,0,0,9.84,0,0,1.09,1.09,0,0,0
108-118,0,0,3.06,0,3.06,1.53,0,5.36,0,36,0,0.77,1.53,4.6,0,0,0,5.36,0,2.3,0,0,4.6,0,0,0.77,0,0,2.3,0
120,0,0,3.92,0,0,0,0,5.88,0,31.36,0,0,0,5.88,0,0,0,1.96,0,0,0,0,5.88,0,0,0,0,0,0,0
