stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,2,0,0,0,0,0,1,1,3,0,0,0,0,4,0,3,0,0,1,10,0,0,1,0,0,0,0,0,1,2,9,0,0,1,0,0
 24-34,0,0,0,0,9.03,0,4.1,0,0,0,0,0,0,1.64,0.82,1.64,0,0,2.46,0.82,6.57,0,0,5.75,37.76,0,1.64,0,0,0,6.57,0,0,0,0.82,16.42,0,0,2.46,0,1.64
 36-46,0,0,0,0,4.03,0,4.83,0,1.61,1.61,2.42,0.81,0,2.42,4.03,0.81,0,0,0,4.03,13.7,0,0,6.45,100.71,1.61,2.42,0.81,0,0,8.86,0,0,0,0,29.81,0,0,4.03,0,3.22
 48-58,0.57,0,0,0.57,2.87,0,57.95,0.57,1.15,2.3,6.31,0,0,0.57,2.87,0,0,1.15,0.57,2.87,11.48,0,0,3.44,88.37,1.15,0.57,0,0,0,5.74,0,0,0.57,0,17.21,0,0.57,0.57,0,4.02
 60-70,0,0,2.94,0,4.91,0,128.58,0,2.94,0.98,6.87,0.98,0,0,14.72,0,0.98,0,0,9.82,22.58,0,1.96,1.96,134.47,3.93,0,0.98,0,0,18.65,0,1.96,0,0,11.78,0,0,0.98,0.98,3.93
 72-82,0,0,0,0,2.94,0,124.67,0.98,0.98,0.98,6.87,0,0,0,7.85,0,0,0,0,1.96,32.39,2.94,1.96,0.98,127.62,0,0,0,0,0,7.85,0,2.94,0,0,11.78,0.98,1.96,0.98,1.96,1.96
 84-94,0,0,0,0,12.74,0,105.14,3.19,6.37,0,18.05,1.06,1.06,0,15.93,2.12,1.06,0,1.06,7.43,24.43,0,7.43,0,66.91,1.06,1.06,2.12,0,1.06,30.8,0,4.25,0,0,6.37,0,2.12,3.19,1.06,5.31
 96-106,0,0,0,0,9.84,0,51.36,1.09,2.19,1.09,9.84,5.46,0,0,17.49,0,3.28,1.09,0,2.19,12.02,0,2.19,2.19,49.18,0,3.28,1.09,0,0,26.23,0,2.19,0,0,2.19,1.09,2.19,1.09,2.19,9.84
108-118,0,0,0,0,11.49,0,49.79,0.77,2.3,0.77,9.96,4.6,0,0,9.96,0.77,3.06,0.77,0,4.6,14.55,0,3.06,2.3,49.79,3.06,1.53,1.53,0,0.77,14.55,0,2.3,0.77,0,2.3,0,0.77,2.3,0.77,6.13
120,0,0,0,0,17.64,0,29.4,1.96,5.88,1.96,5.88,5.88,0,0,19.6,0,1.96,1.96,1.96,1.96,7.84,0,3.92,1.96,50.95,1.96,0,0,0,0,13.72,0,1.96,0,0,3.92,1.96,0,3.92,1.96,0
