stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,30.65,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,13.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,0,0.82,2.46,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,1.61,4.83,0,0,0.81,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,1.72,0,0,0,0,2.3,0.57,0,3.44,0,0,0,1.15,0.57,0,0,0.57
 60-70,0,0,0,0.98,1.96,0.98,0,0,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,0.98,0.98,0,0.98,0,0.98,3.93,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0.77,0
