stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,33,9,1,0,0,25,1,0,1,0,0,0,0,0,10,0,0,5,81,2,1,4,6,2,2,13,28,1,6,89,0,0,1,0,0
 24-34,0,1.64,9.03,0,13.95,0,0,18.88,0.82,0,0,0,0,0,4.93,0,14.78,0.82,0,4.93,83.73,1.64,5.75,11.49,0,1.64,0,0,8.21,0,3.28,75.52,0,0,12.31,0,0
 36-46,0,0,3.22,0,9.67,0,0.81,19.34,0.81,0,0.81,0,0.81,0,5.64,0,18.53,0,0,12.89,62.04,0,4.83,7.25,0,1.61,0,0,2.42,0,0,52.37,0,0,5.64,0,0
 48-58,0,0,1.15,0,17.79,0,0,21.23,0,0.57,1.15,0,0.57,0,2.87,0,21.23,0,0,2.3,29.84,0,6.31,6.31,0,1.15,0,0,2.87,0,0,26.4,0,0,4.59,0,0
 60-70,0.98,0,1.96,0,25.52,1.96,0.98,23.56,0,0,0,0,0,0,1.96,0,31.41,0.98,0.98,6.87,24.54,0,8.83,5.89,0,3.93,0,0,0.98,0,0,22.58,0,0.98,2.94,1.96,0
 72-82,0,0,4.91,0,19.63,0,1.96,28.47,0,0,1.96,1.96,0,0.98,9.82,0,37.3,0,0,0.98,18.65,0,5.89,14.72,0,0.98,0,0,1.96,0,0,10.8,1.96,0.98,12.76,2.94,0
 84-94,0,0,7.43,0,23.36,0,4.25,24.43,0,0,1.06,1.06,1.06,2.12,5.31,1.06,28.68,0,2.12,2.12,19.12,0,10.62,15.93,0,4.25,0,0,5.31,0,0,9.56,0,0,9.56,0,1.06
 96-106,3.28,0,7.65,0,13.11,4.37,0,17.49,2.19,0,2.19,1.09,2.19,1.09,12.02,0,28.41,0,0,3.28,10.93,0,12.02,18.58,0,6.56,0,0,0,0,0,3.28,0,0,7.65,1.09,1.09
108-118,0,0,5.36,0,13.79,0.77,2.3,18.38,0.77,0,0.77,2.3,1.53,2.3,6.13,0,25.28,0,2.3,1.53,21.45,0,6.89,15.32,0,2.3,0,0,3.06,0,0,6.13,0,1.53,9.96,1.53,0.77
120,0,0,0,0,11.76,0,0,7.84,1.96,0,0,0,0,1.96,5.88,1.96,13.72,0,0,0,7.84,0,1.96,5.88,0,3.92,0,0,0,0,0,1.96,0,1.96,5.88,1.96,0
