stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,12,0,0,0,0,0,0,0,15,5,28,12,0,0,0,0
 24-34,0,0,0.82,0.82,3.28,0,0,0.82,0,0,4.1,0,0,0,0,0,0,0,0,0,4.93,0,0,4.93,97.68,0,0,0.82,0,0,0.82,0,0,13.95,3.28,13.13,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,1.61,0,1.61,5.64,0,0,0,0,0,0,0,0,0,6.45,0,0,5.64,255.4,0,0.81,0,0,0,0,0.81,0,13.7,0,11.28,0,0,0,0
 48-58,0,0,0.57,0,2.3,0.57,0,20.66,0,2.3,5.16,0,0.57,0.57,0,0,0.57,0,1.15,0,20.08,0,1.72,8.61,278.87,0,0.57,0,0,0,0,0,0,5.16,0,9.18,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,79.5,0.98,3.93,6.87,0,0,0,0.98,0,0,0.98,0,0,52.02,0,1.96,11.78,412.24,0,0.98,0,0,0,0,0,0,6.87,0,5.89,0,0,0,0
 72-82,0,0,2.94,0,6.87,1.96,0,140.38,0,0,25.52,3.93,0,0,0,3.93,0,0.98,0,0.98,141.36,0,8.83,8.83,507.52,0,0.98,0.98,0,0,0,0,0,12.76,0,7.85,0.98,1.96,1.96,2.94
 84-94,0,0,2.12,0,5.31,1.06,0,92.4,1.06,2.12,19.12,5.31,0,1.06,0,1.06,1.06,1.06,0,1.06,126.38,0,8.5,6.37,300.56,0,1.06,0,0,0,0,0,0,21.24,0,2.12,0,0,2.12,0
 96-106,0,0,3.28,0,6.56,2.19,0,95.08,2.19,2.19,24.04,9.84,0,2.19,3.28,3.28,0,1.09,1.09,0,114.75,1.09,2.19,6.56,274.3,0,0,1.09,0,0,2.19,0,0,55.74,0,1.09,1.09,3.28,3.28,1.09
108-118,0,0,1.53,0.77,5.36,1.53,0.77,75.06,0.77,1.53,19.92,8.43,0,0,2.3,2.3,0,0,3.06,0,63.57,0,0.77,7.66,384.51,0.77,0,0.77,0,0,0.77,0,0,57.45,0,2.3,0,0.77,2.3,1.53
120,0,0,3.92,0,1.96,0,0,52.91,1.96,0,25.48,9.8,0,1.96,3.92,1.96,1.96,0,1.96,0,54.87,1.96,5.88,5.88,466.43,1.96,0,1.96,0,1.96,0,0,0,43.12,0,0,0,0,0,1.96
