stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,5,54,835,306,0,452,0,5,0,80,36,28,12,9,33,6,2,5,53,357,1,0,235,4831,216,20,98,165,0,6,4,678,68,73,922,1561,0,0,64,0,50
 24-34,0.82,4.1,12.31,155.14,32.83,0,515.5,0.82,11.49,6.57,122.31,8.21,3.28,13.95,9.85,21.34,9.03,14.78,5.75,100.14,444.08,5.75,1.64,174.02,4197.86,25.45,36.94,68.13,0,1.64,12.31,0,1.64,12.31,4.93,122.31,1066.29,0,0,178.13,0,96.04
 36-46,0,0.81,0.81,42.7,4.83,0,652.59,0.81,2.42,17.72,182.08,3.22,0,12.89,10.47,3.22,20.95,13.7,4.03,43.51,401.22,2.42,9.67,124.07,2902.02,3.22,13.7,27.39,0,1.61,12.09,0,0.81,7.25,0.81,1.61,883.82,0,0,83.79,0.81,40.28
 48-58,0,1.72,1.72,38.44,0.57,0,772.92,2.87,6.89,20.66,300.1,4.59,1.15,16.07,10.33,4.59,26.4,12.05,5.16,24.1,542.82,4.02,18.94,117.63,1217.61,1.72,8.03,25.25,0,3.44,10.9,0,0,2.87,0.57,0,511.26,0,3.44,79.19,0.57,35
 60-70,0,2.94,0,37.3,2.94,0,466.22,1.96,5.89,12.76,313.11,7.85,0.98,12.76,16.69,7.85,35.33,9.82,1.96,8.83,505.48,0.98,25.52,62.82,524.13,0.98,4.91,8.83,0,3.93,9.82,0,0,2.94,1.96,0,135.45,1.96,6.87,60.85,2.94,19.63
 72-82,0,4.91,0.98,41.23,7.85,0,288.61,2.94,5.89,28.47,344.56,24.54,3.93,16.69,27.49,7.85,53.99,21.6,3.93,5.89,603.72,5.89,29.45,88.35,496.72,0.98,16.69,35.34,0,6.87,15.71,0,0,6.87,0,0,46.14,9.82,24.54,100.13,18.65,35.34
 84-94,0,6.37,0,78.59,8.5,1.06,266.57,0,8.5,12.74,193.29,26.55,2.12,9.56,35.05,13.81,44.61,15.93,3.19,10.62,396.14,3.19,25.49,71.16,315.43,1.06,11.68,21.24,0,7.43,45.67,0,0,10.62,2.12,0,45.67,8.5,19.12,96.65,19.12,20.18
 96-106,0,13.11,0,96.17,10.93,0,186.88,3.28,6.56,16.39,208.73,27.32,0,17.49,62.29,17.49,41.53,12.02,3.28,9.84,334.41,5.46,15.3,53.55,272.12,0,26.23,41.53,0,14.21,41.53,0,0,5.46,0,0,25.14,7.65,17.49,116.93,19.67,24.04
108-118,0,6.13,0.77,62.81,13.79,5.36,139.41,2.3,18.38,16.85,186.13,38.3,0,8.43,34.47,19.92,58.21,13.79,5.36,19.92,249.7,3.83,12.26,42.13,318.64,4.6,17.62,29.87,0,7.66,47.49,0,0,5.36,0.77,0,8.43,10.72,9.96,91.92,9.96,29.87
120,0,1.96,0,80.35,7.84,0,99.95,3.92,11.76,11.76,121.51,19.6,0,5.88,33.32,1.96,23.52,7.84,7.84,7.84,170.5,0,7.84,45.08,217.54,1.96,13.72,5.88,0,7.84,50.95,0,0,5.88,0,0,11.76,7.84,1.96,54.87,5.88,9.8
