stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,15.73,0,0,0,0
 14-21,0,0,2,1,0,0,2,0,1,0,0,2,0
 24-34,0,0,0,0,0.82,0,0,2.46,9.03,0,0.82,5.75,0
 36-46,0,0,0,0,1.61,0.81,0.81,0,5.64,0,0,0.81,0.81
 48-58,0,0,0,0,1.72,0.57,0.57,0,2.3,0,0,0.57,0
 60-70,0,0,0,0,0.98,1.96,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,2.94,0,0,0.98,0.98
 84-94,0,0,0,0,0,0,2.12,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,1.53,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0
